SourceMapId	SourceMapString	TargetMapId	TargetMapString	Type	SourceScriptFile	ScrollType	NpcName_0	Position_0	NpcName_1	Position_1	NpcName_2	Position_2	NpcName_3	Position_3	SelIndexs_0	SelIndexs_1	SelIndexs_2	SelIndexs_3	SelIndexs_4	SelIndexs_5	SelIndexs_6	SelIndexs_7	SelIndexs_8	SelIndexs_9	SelIndexs_10
100	TuyÒn Ch©u	204	ThiÕu L©m	1	\script\½­ÄÏÇø\ÈªÖİ\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1464;2962							1;	1;	2;	2;	2;	2;	2;	2;	2;	2;	2;
100	TuyÒn Ch©u	312	Vâ §ang	1	\script\½­ÄÏÇø\ÈªÖİ\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1464;2962							2;	2;	1;	3;	3;	3;	3;	3;	3;	3;	3;
100	TuyÒn Ch©u	303	Nga My	1	\script\½­ÄÏÇø\ÈªÖİ\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1464;2962							3;	3;	3;	1;	4;	4;	4;	4;	4;	4;	4;
100	TuyÒn Ch©u	209	C¸i Bang	1	\script\½­ÄÏÇø\ÈªÖİ\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1464;2962							4;	4;	4;	4;	1;	5;	5;	5;	5;	5;	5;
100	TuyÒn Ch©u	305	§­êng M«n	1	\script\½­ÄÏÇø\ÈªÖİ\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1464;2962							5;	5;	5;	5;	5;	1;	6;1;	6;1;	6;1;	6;1;	6;1;
100	TuyÒn Ch©u	219	Thiªn Ba D­¬ng phñ	1	\script\½­ÄÏÇø\ÈªÖİ\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1464;2962							6;1;	6;1;	6;1;	6;1;	6;1;	6;1;	1;	6;2;	6;2;	6;2;	6;2;
100	TuyÒn Ch©u	407	Ngò §éc Gi¸o	1	\script\½­ÄÏÇø\ÈªÖİ\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1464;2962							6;2;	6;2;	6;2;	6;2;	6;2;	6;2;	6;2;	1;	6;3;	6;3;	6;3;
100	TuyÒn Ch©u	509	C«n L«n	1	\script\½­ÄÏÇø\ÈªÖİ\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1464;2962							6;3;	6;3;	6;3;	6;3;	6;3;	6;3;	6;3;	6;3;	1;	6;4;	6;4;
100	TuyÒn Ch©u	404	Thóy Yªn	1	\script\½­ÄÏÇø\ÈªÖİ\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1464;2962							6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	1;	6;5;
100	TuyÒn Ch©u	152	Minh gi¸o	1	\script\½­ÄÏÇø\ÈªÖİ\npc\ÃÅÅÉ½ÓÒıÈË.lua		Sø gi¶ m«n ph¸i	1464;2962							6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	6;4;	1;	6;5;
100	TuyÒn Ch©u	200	BiÖn Kinh	2	\script\½­ÄÏÇø\ÈªÖİ\npc\ÈªÖİ³µ·ò.lua		Xa phu TuyÒn Ch©u	1370;2892	Xa phu TuyÒn Ch©u	1508;2881	Xa phu TuyÒn Ch©u	1541;3061			1;										
100	TuyÒn Ch©u	300	Thµnh §«	2	\script\½­ÄÏÇø\ÈªÖİ\npc\ÈªÖİ³µ·ò.lua		Xa phu TuyÒn Ch©u	1370;2892	Xa phu TuyÒn Ch©u	1508;2881	Xa phu TuyÒn Ch©u	1541;3061			2;										
100	TuyÒn Ch©u	400	§¹i Lı phñ	2	\script\½­ÄÏÇø\ÈªÖİ\npc\ÈªÖİ³µ·ò.lua		Xa phu TuyÒn Ch©u	1370;2892	Xa phu TuyÒn Ch©u	1508;2881	Xa phu TuyÒn Ch©u	1541;3061			5;										
100	TuyÒn Ch©u	500	Phông T­êng phñ	2	\script\½­ÄÏÇø\ÈªÖİ\npc\ÈªÖİ³µ·ò.lua		Xa phu TuyÒn Ch©u	1370;2892	Xa phu TuyÒn Ch©u	1508;2881	Xa phu TuyÒn Ch©u	1541;3061			6;										
100	TuyÒn Ch©u	350	T­¬ng D­¬ng	2	\script\½­ÄÏÇø\ÈªÖİ\npc\ÈªÖİ³µ·ò.lua		Xa phu TuyÒn Ch©u	1370;2892	Xa phu TuyÒn Ch©u	1508;2881	Xa phu TuyÒn Ch©u	1541;3061			3;										
100	TuyÒn Ch©u	150	D­¬ng Ch©u	2	\script\½­ÄÏÇø\ÈªÖİ\npc\ÈªÖİ³µ·ò.lua		Xa phu TuyÒn Ch©u	1370;2892	Xa phu TuyÒn Ch©u	1508;2881	Xa phu TuyÒn Ch©u	1541;3061			4;										
100	TuyÒn Ch©u	105	T©y TuyÒn Ch©u	3	\script\½­ÄÏÇø\ÈªÖİ\trap\ÈªÖİtoÈªÖİ¸®Î÷.lua			1310;2805																	
