line_id	group_id	desc_cn	attr_type	attr_val	min_type	min_val	max_type	max_val	desc_vn
	an condition group means a set of item or player attribute conditions	unuse line(2~30)	see [statcfg_readme.txt].[CommonAttrType]	 	see [statcfg_readme.txt].[CommonAttrType]	 	same as min_type		unuse line(2~30)
	multi lines with same id relations "OR"	unuse line(2~30)	follow is allow:	 	follow is allow:	 			unuse line(2~30)
	suggest from 1001	unuse line(2~30)	ROLE_BASE	 	ROLE_BASE	 			unuse line(2~30)
		unuse line(2~30)	ITEM_GROUP	 	ITEM_STAT	 			unuse line(2~30)
		unuse line(2~30)	ITEM_BASE	 	ITEM_BASE	 			unuse line(2~30)
		unuse line(2~30)	TASK_STAT	 	TASK_STAT				unuse line(2~30)
		unuse line(2~30)	ITEM_STAT		CONST				unuse line(2~30)
		unuse line(2~30)							unuse line(2~30)
		unuse line(2~30)		predefined base attr of player or item as follow:		ITEM_PLACE			unuse line(2~30)
		unuse line(2~30)		 0 = none		 1 = CurEquip			unuse line(2~30)
		unuse line(2~30)		 1 = LEVEL		 2 = Bag			unuse line(2~30)
		unuse line(2~30)		 2 = FACTION_PATH		 3 = StoreBox			unuse line(2~30)
		unuse line(2~30)		 3 = FACTION		 7 = SelfStall			unuse line(2~30)
		unuse line(2~30)		 4 = GOLD_ALL					unuse line(2~30)
		unuse line(2~30)		 5 = TRANS_LEVEL					unuse line(2~30)
		unuse line(2~30)		 9 = OFFLINE_DAYS					unuse line(2~30)
		unuse line(2~30)		 10 = LASTLOGIN_DAYS_PAST					unuse line(2~30)
		unuse line(2~30)		 11 = EXP					unuse line(2~30)
		unuse line(2~30)		 12 = REBORN_COUNT					unuse line(2~30)
		unuse line(2~30)		 13 = REBORN_ROUTE			14=YI_EXP		unuse line(2~30)
		unuse line(2~30)		 1001 = ITEM_G					unuse line(2~30)
		unuse line(2~30)		 1002 = ITEM_D					unuse line(2~30)
		unuse line(2~30)		 1003 = ITEM_P					unuse line(2~30)
		unuse line(2~30)		 1004 = ITEM_ENHANCE					unuse line(2~30)
		unuse line(2~30)		 1005 = ITEM_NUM					unuse line(2~30)
		unuse line(2~30)		 1006 = ITEM_PLACE					unuse line(2~30)
		unuse line(2~30)		 1007 = ITEM_CUR_LINGQI					unuse line(2~30)
		unuse line(2~30)		 1008 = ITEM_MAX_LINGQI					unuse line(2~30)
		unuse line(2~30)							unuse line(2~30)
1	40001	Lv1-9	ROLE_BASE	1	CONST	1	CONST	9	
2	40002	Lv10_19	ROLE_BASE	1	CONST	10	CONST	19	
3	40003	Lv20-29	ROLE_BASE	1	CONST	20	CONST	29	
4	40004	Lv30-39	ROLE_BASE	1	CONST	30	CONST	39	
5	40005	Lv40-49	ROLE_BASE	1	CONST	40	CONST	49	
6	40006	Lv50-59	ROLE_BASE	1	CONST	50	CONST	59	
7	40007	Lv60-69	ROLE_BASE	1	CONST	60	CONST	69	
8	40008	Lv70-79	ROLE_BASE	1	CONST	70	CONST	79	
9	40009	Lv80-89	ROLE_BASE	1	CONST	80	CONST	89	
10	40010	Lv90-99	ROLE_BASE	1	CONST	90	CONST	99	
11	40011	转生1	TASK_STAT	30001	CONST	1	CONST	1	
12	40012	转生2	TASK_STAT	30001	CONST	2	CONST	2	
13	40013	转生3	TASK_STAT	30001	CONST	3	CONST	3	
14	40014	转生4	TASK_STAT	30001	CONST	4	CONST	4	
15	40015	转生5	TASK_STAT	30001	CONST	5	CONST	5	
16	40016	转生6	ROLE_BASE	12	CONST	1	CONST	1	
17	40017	转生7	ROLE_BASE	12	CONST	2	CONST	2	
18	40018	转生8	ROLE_BASE	12	CONST	3	CONST	3	
19	40019	转生9	ROLE_BASE	12	CONST	4	CONST	4	
20	40020	转生10	ROLE_BASE	12	CONST	5	CONST	5	
21	40021	Lv99	ROLE_BASE	1	CONST	99	CONST	99	
22	40022	lv10-99	ROLE_BASE	1	CONST	10	CONST	99	
23	40023	少林俗家	ROLE_BASE	2	CONST	2	CONST	2	
24	40024	少林禅宗	ROLE_BASE	2	CONST	3	CONST	3	
25	40025	少林武宗	ROLE_BASE	2	CONST	4	CONST	4	
26	40026	唐门暗器	ROLE_BASE	2	CONST	6	CONST	6	
27	40027	峨嵋佛家	ROLE_BASE	2	CONST	8	CONST	8	
28	40028	峨嵋俗家	ROLE_BASE	2	CONST	9	CONST	9	
29	40029	丐帮净衣	ROLE_BASE	2	CONST	11	CONST	11	
30	40030	丐帮污衣	ROLE_BASE	2	CONST	12	CONST	12	
31	40031	武当道家	ROLE_BASE	2	CONST	14	CONST	14	
32	40032	武当俗家	ROLE_BASE	2	CONST	15	CONST	15	
33	40033	杨门枪骑	ROLE_BASE	2	CONST	17	CONST	17	
34	40034	杨门弓骑	ROLE_BASE	2	CONST	18	CONST	18	
35	40035	五毒邪侠	ROLE_BASE	2	CONST	20	CONST	20	
36	40036	五毒蛊师	ROLE_BASE	2	CONST	21	CONST	21	
37	40037	武者	TASK_STAT	30002	CONST	1	CONST	1	
38	40038	武将	TASK_STAT	30002	CONST	2	CONST	2	
39	40039	武王	TASK_STAT	30002	CONST	3	CONST	3	
40	40040	武尊	TASK_STAT	30002	CONST	4	CONST	4	
41	40041	武皇	TASK_STAT	30002	CONST	5	CONST	5	
42	40042	武圣	TASK_STAT	30002	CONST	6	CONST	6	
43	40043	真气0-50000	TASK_STAT	30005	CONST	0	CONST	50000	
44	40044	真气50001-100000	TASK_STAT	30005	CONST	50001	CONST	100000	
45	40045	真气100001-150000	TASK_STAT	30005	CONST	100001	CONST	150000	
