line_id	group_id	desc_cn	item_G	item_D	item_P	weight	desc_vn
	an item group means a set of item GDPs	unuse line(2~30)	value format "value or min;max"	value format "value or min;max"	value format "value or min;max"	stat weight of this kind of item	unuse line(2~30)
	multi lines with same id relations "OR"	unuse line(2~30)					unuse line(2~30)
	suggest from 10001	unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
		unuse line(2~30)					unuse line(2~30)
1	10001	╫П╡Уфв	0	107	59	1	
2	10002	пчбчць╪╝	0	107	60	1	
3	10003	лЛо╪ць╪╝	0	107	64	1	
4	10004	воо╪ць╪╝	0	107	65	1	
5	10005	у╢рбфв	0	107	66	1	
6	10006	нЕппць╪╝	0	107	155	1	
7	10007	кдаИу╫рБфв	0	107	159	1	
8	10008	кдаИлЛрбфв	0	107	160	1	
9	10009	кдаИворбфв	0	107	161	1	
10	10010	кдаИу╫рБфвх╚╠╬	0	107	162	1	
11	10011	кдаИлЛрбфвх╚╠╬	0	107	163	1	
12	10012	кдаИворбфвх╚╠╬	0	107	164	1	
13	10013	кдаИнчк╚фвх╚╠╬	0	107	165	1	
14	10014	нЕппць╪╝х╚╠╬	0	107	157	1	
15	10015	аХ╡╗н╒╡╫	0	112	78	1	
16	10016	аХ╡╗н╒╡╫х╚╠╬	0	112	158	1	
17	10017	╦ъ╪╤й╕цець╪╝	0	107	166;203	1	
18	10018	й╕цеуФ╬М	0	107	204;223	1	
19	10019	тилЗкИф╛	2	2	7	1	тилЗкИф╛
20	10019	╢Р╟Э╣дтилЗкИф╛	2	1	1049	100	тилЗкИф╛
21	10020	тилЗ	2	2	8	1	тилЗ
22	10020	╢Р╟Э╣дтилЗ	2	1	1050	100	тилЗ
23	10021	тилЗ╬╚й╞	2	1	1009	1	тилЗ╬╚й╞
24	10021	п║╟Э╣дтилЗ╬╚й╞	2	1	3356	10	тилЗ╬╚й╞
25	10021	╢Р╟Э╣дтилЗ╬╚й╞	2	1	1051	100	тилЗ╬╚й╞
26	10022	тилЗаИй╞	2	1	1068	1	
27	10023	╤╗╩ЙтилЗиЯй╞	2	1	1067	1	
28	10024	╢С╤╗╩ЙтилЗиЯй╞	2	1	1113	1	
29	10025	╬Э╧╕уб	2	1	9999	1	
30	10026	╢С╬Э╧╕уб	2	1	9998	1	
31	10027	╩т╩м╬Э╧╕уб	2	1	9977	1	
32	10028	╟ЦхТйВжж	2	0	398	1	
33	10029	╟ЦхТж╓йИ	2	1	30114	1	
34	10030	жжвс	2	1	30086	1	жжвс
35	10030	жжвс╟Э	2	1	30087	6	
36	10031	╥гялй╞	2	1	30130	1	
37	10032	мРдЙхк╡н	2	1	30071	1	
38	10033	╬шрЕаН	2	95	208	1	╬шрЕаН
39	10033	п║╟Э╬шрЕаН	2	95	210	10	╬шрЕаН
40	10033	╢С╟Э╬шрЕаН	2	95	211	50	╬шрЕаН
41	10034	м╗лЛаНеф	2	1	30409	1	м╗лЛаНеф
42	10034	п║╟Эм╗лЛаНеф	2	1	30411	10	м╗лЛаНеф
43	10034	╢С╟Эм╗лЛаНеф	2	1	30412	50	м╗лЛаНеф
44	10035	пг╨шкИф╛	2	1	30299	1	
45	10036	лЛрг╬╚лЗ	2	1	30300	1	
46	10037	П╘тбпЧ╫П	2	1	30301	1	
47	10038	лЛмБаВпг	2	1	30321	1	
48	10039	нЕпппЧй╞	2	1	30302	1	
49	10040	нЕпппЧлЗ	2	1	30303	1	
50	10041	нЕпппЧ╫П	2	1	30304	1	
51	10042	нЕпп╠╕оД	2	1	30320	1	
52	10043	р╚яТ╬епЧ	2	1	30298	1	
53	10044	©л╟Е	2	1	30373	1	
54	10045	╧елЛце╠╕оД	2	1	30374	1	
55	10046	12╪╤г©╩╞╬М	2	1	30424	1	
56	10047	13╪╤г©╩╞╬М	2	1	30425	1	
57	10048	14╪╤г©╩╞╬М	2	1	30426	1	
58	10049	15╪╤г©╩╞╬М	2	1	30427	1	
59	10050	1╪╤д╔╣╤й╞	2	1	30428	1	
60	10051	2╪╤д╔╣╤й╞	2	1	30429	1	
61	10052	3╪╤д╔╣╤й╞	2	1	30430	1	
62	10053	в╙иЗ╣╓	2	1	30345	1	
63	10054	╟в╫ПкИф╛	2	1	30346	1	
64	10055	г╛ю╓╫Б╟С╥Ш	2	1	30470	1	
65	10056	1╪╤г╖╩ц©л╟Е	2	1	30406	1	
66	10057	2╪╤г╖╩ц©л╟Е	2	1	30407	1	
67	10058	3╪╤г╖╩ц©л╟Е	2	1	30408	1	
68	10059	Xu	2	1	30230	1	
69	10060	╧еаИй╞	2	1	30368	1	
70	10061	╧еаИсЯ	2	1	30369	1	
71	10062	╢СрЬф╠	2	1	199	1	
72	10063	лЛцекИф╛	2	1	30410	1	
73	10064	лЛН╦кИф╛	2	1	30390	1	
74	10065	лЛН╦аН	2	95	204	1	
75	10066	лЛце╫ПаН	2	1	30370	1	
76	10067	л╚пИйвйн	0	102	29;35	1	
77	10068	╬елЛйвйн	0	102	129;135	1	
78	10069	╡╫╥гялнДфВ	0	0;20	6001;6015	1	
79	10070	т╫ялнДфВ	0	0;20	30001;30015	1	
80	10071	╢Ст╫ялнДфВ	0	0;20	30016;30030	1	
81	10072	╤╚╥╫аЗжИ	0	102	24	1	
82	10073	гЭт╜ж╝еЕ	0	102	27	1	
83	10074	╢Са╕иЯоНа╢	0	102	28	1	
84	10075	тбаамцр╘╟Э	0	102	41	1	
85	10076	Фо╤ПтбнХ╢Ь	0	102	42	1	
86	10077	╨СТЮбДху╩╥	0	102	43	1	
87	10078	Х╜Х╡ж╝пг	0	102	44	1	
88	10079	во╧Бу╫©Ь	0	100	2355;2394	1	
89	10080	во╧Бу╫еш	0	103	2355;2374	1	
90	10081	во╧Бу╫в╟	0	101	2355;2374	1	
91	10082	во╧БоисЯ	0	102	2360;2374	1	
92	10083	во╧БнДфВ	0	0;20	2351;2365	1	
93	10084	╡ь╫ё╩ф╫Пц╠	0	103	95;98	1	
94	10085	╡ь╫ё╩ф╫Прб	0	100	95;98	1	
95	10086	╡ь╫ё╩ф╫П©Ц	0	101	95;98	1	
96	10087	╡ь╫ё╩ф╫Пйвйн	0	102	38;40	1	
97	10088	лЛж╝╡ь╫ёц╠	0	103	30001;30004	1	
98	10089	лЛж╝╡ь╫ёрб	0	100	30001;30004	1	
99	10090	лЛж╝╡ь╫ё©Ц	0	101	30001;30004	1	
100	10091	лЛж╝╡ь╫ёйвйн	0	102	30001;30012	1	
101	10092	вопЫнДфВ	0	0;20	8851;8865	1	
102	10093	во╧Бяв╣ш©Ь	0	103	8051;8054	1	
103	10094	во╧Бяв╣ш╪в	0	100	8051;8054	1	
104	10095	во╧Бяв╣шв╟	0	101	8051;8054	1	
105	10096	во╧БпЫт╞йвйн	0	102	8851;8878	1	
106	10097	╟к╡©лЛаЗж╝лЛжз╣╤	0	3	231	1	й╕це4нДфВ
107	10097	╟к╡©лЛаЗж╝лЛжз╣╤	0	3	232	1	й╕це4нДфВ
108	10097	╟к╡©лЛаЗж╝лЛжз╧В	0	5	231	1	й╕це4нДфВ
109	10097	╟к╡©лЛаЗж╝лЛжз╧В	0	5	232	1	й╕це4нДфВ
110	10097	нча©╥╗вПж╝ЛЬ╤╗ух	0	8	331	1	й╕це4нДфВ
111	10097	нча©╥╗вПж╝ЛЬ╤╗ух	0	8	332	1	й╕це4нДфВ
112	10097	╟к╠╕бч╨╨ж╝╢СЁкйж	0	0	431	1	й╕це4нДфВ
113	10097	╟к╠╕бч╨╨ж╝╢СЁкйж	0	0	432	1	й╕це4нДфВ
114	10097	лЛ╩Зй╧уъж╝иЯувуК	0	1	631	1	й╕це4нДфВ
115	10097	лЛ╩Зй╧уъж╝иЯувуК	0	1	632	1	й╕це4нДфВ
116	10097	лЛ╩Зй╧уъж╝иЯувуК	0	1	633	1	й╕це4нДфВ
117	10097	лЛ╩Зй╧уъж╝иЯувуК	0	1	634	1	й╕це4нДфВ
118	10097	╟ва╚оивсж╝╠╕тл╫ё	0	2	831	1	й╕це4нДфВ
119	10097	╟ва╚оивсж╝╠╕тл╫ё	0	2	832	1	й╕це4нДфВ
120	10097	сЯтооивсж╝ор╩Йгы	0	10	931	1	й╕це4нДфВ
121	10097	сЯтооивсж╝ор╩Йгы	0	10	932	1	й╕це4нДфВ
122	10097	аЗм╥иЯь╓ж╝лзтфйж	0	0	1131	1	й╕це4нДфВ
123	10097	аЗм╥иЯь╓ж╝лзтфйж	0	0	1132	1	й╕це4нДфВ
124	10097	аЗм╥иЯь╓ж╝лзтфйж	0	0	1133	1	й╕це4нДфВ
125	10097	аЗм╥иЯь╓ж╝лзтфйж	0	0	1134	1	й╕це4нДфВ
126	10097	фРлЛиЯь╓ж╝тфсн╧В	0	5	1231	1	й╕це4нДфВ
127	10097	фРлЛиЯь╓ж╝тфсн╧В	0	5	1232	1	й╕це4нДфВ
128	10097	фРлЛиЯь╓ж╝тфсн╧В	0	5	1233	1	й╕це4нДфВ
129	10097	фРлЛиЯь╓ж╝тфсн╧В	0	5	1234	1	й╕це4нДфВ
130	10097	уф╬╜╣юхкж╝гЕ╧Б╫ё	0	2	1431	1	й╕це4нДфВ
