line_id	group_id	desc_cn	condition_ids	item_group_id	type	type_val	min_val	max_val	stat_type	desc_vn
	an item group means a statistic on a set of item of one player	unuse line(2~30)	reference to [conditions.txt].group_id	reference to [itemgroup.txt].group_id	see [statcfg_readme.txt].[CommonAttrType]	see [statcfg_readme.txt].[ItemBaseAttrDef]	const number	const number	see [statcfg_readme.txt].[StatType]	unuse line(2~30)
	one or multi lines with same id construct one statistic	unuse line(2~30)	'&' to depart multi ids	0 means no item group	follow is allow:	 	 		follow is allow:	unuse line(2~30)
	one item group statistic result consider as an extended player common attr	unuse line(2~30)	multi conditions relation is "AND"	 	ITEM_BASE	 			COUNT	unuse line(2~30)
	suggest from 20001	unuse line(2~30)			ITEM_STAT	 			SUM	unuse line(2~30)
		unuse line(2~30)							AVG	unuse line(2~30)
		unuse line(2~30)				predefined base attr of player or item as follow:		ITEM_PLACE		unuse line(2~30)
		unuse line(2~30)				 1001 = ITEM_G		 1 = CurEquip		unuse line(2~30)
		unuse line(2~30)				 1002 = ITEM_D		 2 = Bag		unuse line(2~30)
		unuse line(2~30)				 1003 = ITEM_P		 3 = StoreBox		unuse line(2~30)
		unuse line(2~30)				 1004 = ITEM_ENHANCE		 7 = SelfStall		unuse line(2~30)
		unuse line(2~30)				 1005 = ITEM_NUM				unuse line(2~30)
		unuse line(2~30)				 1006 = ITEM_PLACE				unuse line(2~30)
		unuse line(2~30)				 1007 = ITEM_CUR_LINGQI				unuse line(2~30)
		unuse line(2~30)				 1008 = ITEM_MAX_LINGQI				unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
		unuse line(2~30)								unuse line(2~30)
1	20001	×°±¸+1	40072	10204	ITEM_BASE	1005	1	2000000000	SUM	
2	20002	×°±¸+2	40073	10204	ITEM_BASE	1005	1	2000000000	SUM	
3	20003	×°±¸+3	40074	10204	ITEM_BASE	1005	1	2000000000	SUM	
4	20004	×°±¸+4	40075	10204	ITEM_BASE	1005	1	2000000000	SUM	
5	20005	×°±¸+5	40076	10204	ITEM_BASE	1005	1	2000000000	SUM	
6	20006	×°±¸+6	40077	10204	ITEM_BASE	1005	1	2000000000	SUM	
7	20007	×°±¸+7	40078	10204	ITEM_BASE	1005	1	2000000000	SUM	
8	20008	×°±¸+8	40079	10204	ITEM_BASE	1005	1	2000000000	SUM	
9	20009	×°±¸+9	40080	10204	ITEM_BASE	1005	1	2000000000	SUM	
10	20010	×°±¸+10	40081	10204	ITEM_BASE	1005	1	2000000000	SUM	
11	20011	×°±¸+11	40082	10204	ITEM_BASE	1005	1	2000000000	SUM	
12	20012	×°±¸+12	40083	10204	ITEM_BASE	1005	1	2000000000	SUM	
13	20013	×°±¸+13	40084	10204	ITEM_BASE	1005	1	2000000000	SUM	
14	20014	×°±¸+14	40085	10204	ITEM_BASE	1005	1	2000000000	SUM	
15	20015	×°±¸+15	40086	10204	ITEM_BASE	1005	1	2000000000	SUM	
16	20016	ÎäÆ÷_×°±¸+1	40072	10199	ITEM_BASE	1005	1	2000000000	SUM	
17	20017	ÎäÆ÷_×°±¸+2	40073	10199	ITEM_BASE	1005	1	2000000000	SUM	
18	20018	ÎäÆ÷_×°±¸+3	40074	10199	ITEM_BASE	1005	1	2000000000	SUM	
19	20019	ÎäÆ÷_×°±¸+4	40075	10199	ITEM_BASE	1005	1	2000000000	SUM	
20	20020	ÎäÆ÷_×°±¸+5	40076	10199	ITEM_BASE	1005	1	2000000000	SUM	
21	20021	ÎäÆ÷_×°±¸+6	40077	10199	ITEM_BASE	1005	1	2000000000	SUM	
22	20022	ÎäÆ÷_×°±¸+7	40078	10199	ITEM_BASE	1005	1	2000000000	SUM	
23	20023	ÎäÆ÷_×°±¸+8	40079	10199	ITEM_BASE	1005	1	2000000000	SUM	
24	20024	ÎäÆ÷_×°±¸+9	40080	10199	ITEM_BASE	1005	1	2000000000	SUM	
25	20025	ÎäÆ÷_×°±¸+10	40081	10199	ITEM_BASE	1005	1	2000000000	SUM	
26	20026	ÎäÆ÷_×°±¸+11	40082	10199	ITEM_BASE	1005	1	2000000000	SUM	
27	20027	ÎäÆ÷_×°±¸+12	40083	10199	ITEM_BASE	1005	1	2000000000	SUM	
28	20028	ÎäÆ÷_×°±¸+13	40084	10199	ITEM_BASE	1005	1	2000000000	SUM	
29	20029	ÎäÆ÷_×°±¸+14	40085	10199	ITEM_BASE	1005	1	2000000000	SUM	
30	20030	ÎäÆ÷_×°±¸+15	40086	10199	ITEM_BASE	1005	1	2000000000	SUM	
31	20031	ÎäÆ÷_×°±¸+1_ÕýÊ¹ÓÃ	40087&40072	10199	ITEM_BASE	1005	1	2000000000	SUM	
