msg_id	pre_msg_id	next_msg_id	msg_info
1	0	0	NhËm Gi¸o Chñ:  <enter/>    Chµo c¸c h¹! T¹i h¹ Giang BiÖt H¹c, ng­îng mé ®¹i danh cña c¸c h¹ tõ l©u, nghe nãi gi¸o chñ ®· giÕt chÕt ¸c ma §«ng Ph­¬ng BÊt B¹i, trÊn chØnh l¹i NhËt NguyÖt ThÇn Gi¸o, ®a t¹ Gi¸o Chñ  thay trêi hµnh ®¹o diÖt trõ ®¹i ma ®Çu, t¹i h¹ tin r»ng NhËm gi¸o chñ vâ c«ng c¸i thÕ, nhÊt ®Şnh sÏ ®­a NhËt NguyÖt ThÇn Gi¸o danh chÊn giang hå.<enter/>   T¹i h¹ ®­îc biÕt trong Th«ng Thiªn HuyÔn C¶nh cã mét V¹n KiÕm Tròng, ngäc ngµ ch©u b¸u rÊt nhiÒu, biÕt ®­îc NhËm gi¸o chñ ®· tõng vµo trong ®ã, v× vËy thØnh mêi gi¸o chñ cïng t¹i h¹ x«ng vµo V¹n KiÕm Tròng, nÕu chóng ta ®ång t©m hiÖp lùc nhÊt ®Şnh sÏ më ®­îc Phong Ên, ®Õn lóc ®ã ngäc ngµ ch©u b¸u gi¸o chñ cø lÊy, t¹i h¹ nhÊt ®Şnh tu©n theo s¾p xÕp cña gi¸o chñ. NÕu ®­îc gi¸o chñ t­¬ng trî ®ã lµ niÒm vinh h¹nh cña t¹i h¹. <enter/>    mong sím ®­îc diÖn kiÕn gi¸o chñ! <enter/><enter/>                          <color=green>Giang BiÖt H¹c<color>
2	0	0	<color=green>c¸c vŞ ®ång ®¹o giang hå: <color><enter/>    t¹i h¹ Giang BiÖt H¹c, gÇn ®©y cã mét viÖc v« cïng ®au ®Çu, mét m×nh t¹i h¹ th× kh«ng thÓ lµm ®­îc, v× vËy thØnh mêi vâ l©m cao thñ gióp søc, nÕu c¸c vŞ nguyÖn cïng t¹i h¹ hoµn thµnh viÖc lín, Giang BiÖt H¹c c¶m kİch v« cïng.  c¸c vŞ cã thÓ ®Õn Ph­îng T­êng Phñ t×m t¹i h¹ cïng bµn luËn kÕ s¸ch. §a t¹ ®ång ®¹o giang hå!   <enter/>                       <color=green> Giang BiÖt H¹c <color>
3	0	4	<color=green>    ThÈm Viªn lµ mét khu v­ên næi tiÕng ë ThiÖu H­ng, ChiÕt Giang. Nghe kÓ r»ng, trªn bøc t­êng cña ThÈm Viªn tõng cã ®Ò 2 bµi tõ mang tªn Xoa §Çu Ph­îng. Bµi thø nhÊt lµ t¸c phÈm cña danh gia Lôc Du, cßn bµi thø hai do vî cò cña Lôc Du lµ §­êng UyÓn viÕt ®Ó häa l¹i bµi tr­íc. Hai bµi tõ nµy, tuy t¸c gi¶ kh¸c nhau, nh­ng ®Òu chÊt chøa nçi ai o¸n vµ bÊt lùc cña cïng mét c©u chuyÖn t×nh bi lôy.<enter/>    Lôc Du lµ mét nhµ v¨n, nhµ th¬ næi tiÕng sèng vµo thêi Nam Tèng. Chµng sinh ra trong mét gia ®×nh cã häc vÊn cao, nh­ng tõ nhá ®· ph¶i th­êng xuyªn ch¹y n¹n giÆc gi·. §­êng UyÓn lµ con g¸i cña mét ng­êi th©n thİch víi nhµ Lôc Du, tõ nhá ®· th«ng minh hiÒn thôc, tuy kh«ng giái nãi n¨ng, nh­ng rÊt hiÓu lßng ng­êi. Hai bªn t©m ®Çu ı hîp, thanh mai tróc m·, tuy gi÷a lóc lo¹n l¹c, vÉn cïng nhau tr¶i qua tuæi th¬ ªm ®Òm, t×nh c¶m gi÷a hä còng lín dÇn theo n¨m th¸ng.<enter/>    §Õn tuæi thanh xu©n, hai ng­êi ®Òu giái v¨n th¬, th­êng cïng nhau trao ®æi t©m t×nh, tùa nh­ ®«i b­ím d­íi tr¨ng, quÊn quİt kh«ng rêi. Cha mÑ hai bªn ®Òu b»ng lßng, thÕ lµ nhµ hä Lôc dïng chiÕc tr©m ph­îng gia truyÒn lµm tİn vËt ®İnh ­íc, ch¼ng bao l©u sau c¶ hai ®· nªn duyªn vî chång.<enter/>    <color>
4	3	5	<color=green>    Tõ ®ã, Lôc Du vµ §­êng UyÓn cµng thªm keo s¬n th¾m thiÕt, hä ch×m ®¾m trong h¹nh phóc mÆn nång, xøng ®«i võa løa. Lóc nµy, Lôc Du ®· b­íc ®Çu ®¹t ®­îc c«ng danh, tiÕp theo chµng sÏ ph¶i ®Õn L©m An ®Ó chuÈn bŞ Thi Héi. §ang lóc t©n h«n, Lôc Du kh«ng muèn døt t×nh ®Çm Êm, cµng kh«ng bËn t©m ®Õn viÖc øng thİ. MÑ chµng vèn lµ mét ng­êi cã tİnh khİ ngang ng¹nh, mét lßng muèn con trai ®­îc ghi danh b¶ng vµng, r¹ng rì tæ t«ng, nªn rÊt khã chŞu tr­íc viÖc nµy, nhiÒu lÇn dïng danh nghÜa bÒ trªn lín tiÕng qu¸t n¹t §­êng UyÓn, buéc ®«i vî chång trÎ ph¶i lo nghÜ cho chuyÖn c«ng danh.<enter/>    <color>
5	4	6	<color=green>    ThÊy nãi m·i mµ kh«ng nghe, mÑ Lôc Du cµng thÊy kh«ng võa lßng, bµ cho r»ng chİnh §­êng UyÓn ®· khiÕn cho Lôc Du sa ®µ vµo t×nh c¶m, lµm lì ®­êng c«ng danh. ThÕ lµ, bµ ®Õn V« L­îng Am ë ngo¹i thµnh, nhê bãi mét quÎ sè mÖnh cho c« con d©u nµy. Kh«ng ngê ng­êi gi¶i quÎ l¹i nãi r»ng §­êng UyÓn vµ Lôc Du kh«ng hîp, nÕu ë bªn nhau l©u dµi cã thÓ nguy ®Õn tİnh m¹ng! MÑ Lôc Du ho¶ng hån, véi ch¹y vÒ nhµ, Ğp Lôc Du viÕt ngay giÊy tõ vî.<enter/>    Ch÷ t×nh ch÷ hiÕu khã vÑn ®«i ®­êng, dï lßng ®au nh­ c¾t, cuèi cïng Lôc Du vÉn ph¶i tõ vî theo ı mÑ m×nh. Tõ ®ã, uyªn ­¬ng chia rÏ ®«i ®­êng, hai bªn tuy ®au khæ, nh­ng kh«ng thÓ ë bªn nhau. Lôc Du ©m thÇm cÊt mét khu nhµ cho §­êng UyÓn, thi tho¶ng ®Õn th¨m, cïng than thë cho sè phËn o¸i o¨m. Sù viÖc vì lë, mÑ Lôc Du quyÕt liÖt ®ßi con trai c¾t ®øt víi §­êng UyÓn, ®ång thêi d¹m hái mét c« g¸i kh¸c lµm vî cho con m×nh.<enter/>    <color>
6	5	7	<color=green>    Tõ khi §­êng UyÓn vµ Lôc Du ch­a lÊy nhau, mét ng­êi cïng quª tªn TriÖu SÜ Tr×nh ®· ph¶i lßng §­êng UyÓn, chØ tiÕc kh«ng cã c¬ héi gi·i bµy, vÒ sau cµng kh«ng muèn chia rÏ ®«i vî chång keo s¬n, kh«ng ngê nay l¹i cã c¬ héi bÊt ngê.<enter/>    ViÖc Lôc Du tõ vî råi l¹i lÊy vî kh¸c khiÕn nhµ hä §­êng c¶m thÊy mÊt mÆt, cuèi cïng cha cña §­êng UyÓn ®øng ra ®ång ı g¶ §­êng UyÓn cho TriÖu SÜ Tr×nh. Nhµ hä TriÖu lµ dßng dâi hoµng téc, gia m«n hiÓn h¸ch, TriÖu SÜ Tr×nh l¹i lµ ng­êi cã häc, träng t×nh träng nghÜa, tá ra rÊt quan t©m vµ th«ng cµm cho t×nh c¶nh cña §­êng UyÓn, dÇn dÇn ®· khiÕn nµng ngu«i ngoai.<enter/>    Lôc Du ®au lßng, nh­ng ®µnh nghe lêi mÑ chuyªn t©m kinh sö, dèc søc häc hµnh, ®Õn n¨m 27 tuæi ®· giµnh ®­îc Gi¶i Nguyªn. Kh«ng ngê, ng­êi ®ç thø hai sau Lôc Du chİnh lµ ch¸u cña tÓ t­íng TÇn Cèi, v× vËy mµ Lôc Du bŞ TÇn Cèi h·m h¹i, cè ı ®¸nh tr­ît bµi Thi Héi cña chµng, khiÕn con ®­êng danh väng cña Lôc Du ngay tõ ®Çu ®· khã kh¨n tr¾c trë tr¨m bÒ.<enter/>    <color>
7	6	8	<color=green>    Thi Héi ch­a thµnh, Lôc Du vÒ quª, tuy c¶nh nh­ x­a mµ ng­êi ®· kh¸c. §Ó khu©y kháa nçi buån, chµng du ngo¹n s«ng nói, th¨m thó phong c¶nh, bu«ng th¶ m×nh trong mét kho¶ng thêi gian dµi.<enter/>    Mét buæi n¾ng xu©n chan hßa, Lôc Du ®Õn ThÈm Viªn du ngo¹n, kh«ng ngê l¹i gÆp ®­îc vî cò cña m×nh ë ®ã. Thêi kh¾c ®ã, c¶ hai nh­ hãa ®¸, thËt mµ cø ngì nh­ m¬. Trong ¸nh m¾t Èn chøa t×nh c¶m, o¸n giËn, th­¬ng nhí, ®au khæ.<enter/>   T×nh x­a nghÜa cò, duyªn sè tr¾c trë, khiÕn hai ng­êi nh­ tan n¸t câi lßng.<enter/>   <color>
8	7	9	<color=green>    Lôc Du tuy bu«ng th¶, nh­ng chØ ®Ó xua ®i nçi ®au trong lßng. Nay cã dŞp gÆp l¹i, ng­êi cò giê ®· xa, §­êng UyÓn nay ®· lµ vî ng­êi ta. Nµng chËm r·i cÊt b­íc quay ®i, vÒ bªn ng­êi chång ®ang ®îi, ®Ó l¹i Lôc Du ®øng s÷ng gi÷a v­ên hoa.<enter/>   Giã m¸t khiÕn Lôc Du bõng tØnh. Chµng ®uæi theo bãng d¸ng cña nµng, chØ ®Ó thÊy nµng ®ang ®Çm Êm bªn duyªn míi. TriÖu SÜ Tr×nh còng ®· thÊy Lôc Du, liÒn ngá ı §­êng UyÓn b­ng mét chĞn r­îu cho chµng. C¶nh ®Ñp r­îu nång, d¸ng ngäc nh­ x­a, chØ lµ ng­êi ë bªn nµng kh«ng cßn lµ m×nh n÷a. Qu¸ ®au ®ín vµ phÉn uÊt, Lôc Du cÇm bót ®Ò mét bµi tõ lªn bøc t­êng, tùa ®Ò "Thoa §Çu Ph­îng-Hång T« Thñ"<enter/>   Tay ngäc Êm, chĞn r­îu vµng. LiÔu ®µo th¬ thÈn ®ãn xu©n sang.<enter/>   KiÕp ®a ®oan, t×nh lì lµng.<enter/>   Nöa ®µng g¸nh g·y, mét chĞn sÇu cay!<enter/>   Sai! Sai! Sai!<enter/>   Xu©n vÉn thÕ, ng­êi ®©u hay! LÖ nhßa thÊm ®Ém v¹t ¸o ai.<enter/>   Hoa tµn véi, b¹c nh­ v«i.<enter/>   HÑn thÒ cßn ®ã, ngµn th­ kh«ng lêi!<enter/>   Th«i! Th«i! Th«i!<enter/>   <color>
9	8	10	<color=green>    ViÕt xong, Lôc Du nh×n §­êng UyÓn thªm lÇn n÷a, råi ¶m ®¹m b­íc ®i. Tuy ®· chia c¸ch nhiÒu n¨m, nh­ng trong lßng chµng vÉn kh«ng thÓ bu«ng bá mèi t×nh! Nh­ng, dï ®au dï tiÕc, nay nµng ®· lµ vî ng­êi, nh­ cµnh liÔu trong cung cÊm, s¾c xu©n m¬n mën, nh­ng thÊy chØ thªm ®au!<enter/>   T¸c phÈm cña Lôc Du ®· thÓ hiÖn nçi ®au khæ, phÉn uÊt, ®ång thêi còng lµ sù ¸y n¸y vµ t×nh c¶m s©u ®Ëm cña chµng dµnh cho §­êng UyÓn.<enter/>   Kh«ng ngê, bµi Thoa §Çu Ph­îng nµy còng trë thµnh t¸c phÈm tuyÖt mÖnh cña §­êng UyÓn.<enter/>   Kh«ng l©u sau, TÇn Cèi qua ®êi, triÒu ®×nh l¹i träng dông Lôc Du, cho lµm quan ë huyÖn Ninh §øc, tõ ®ã rêi xa quª nhµ.<enter/>  §Õn mïa xu©n n¨m sau, §­êng UyÓn l¹i ®Õn ThÈm Viªn. Khi ®Õn chç hµnh lang, thÊy ®­îc bµi tõ cña Lôc Du viÕt trªn t­êng. Nµng ng©m nga håi l©u, nhí l¹i nh÷ng lóc mÆn nång hßa hîp, bÊt gi¸c n­íc m¾t l¨n dµi. Nµng liÒn cÇm bót ®Ò mét bµi tõ, phô häa sau bµi cña Lôc Du.<enter/>  §êi ®en b¹c, t×nh hång phai. Hoµng h«n hoa në ng¾m m­a bay.<enter/>  LÖ ®· nhßa, vÕt cßn ®©y.<enter/>  LÆng vin song cöa, lÊy ai gi·i bµy.<enter/>  Sai! Sai! Sai!<enter/>  Ng­êi hai ng¶, nay kh¸c råi. Hån cßn m¬ t­ëng thuë thiÕu thêi.<enter/>  T¬ ®µn l¹nh, ¸nh tr¨ng tr«i.<enter/>  Sî ng­êi ®Õn hái, gi¶ vui nghÑn lêi.<enter/>  Th«i! Th«i! Th«i!<enter/>  Kh«ng l©u sau ®ã, §­êng UyÓn mÊt trong ®au buån.<enter/>  <color>
10	9	0	<color=green>    Lóc nµy, Lôc Du ®ang trªn ®µ th¨ng tiÕn. Tµi n¨ng cña chµng ®­îc vua xem träng, cÊt nh¾c lªn nhiÒu chøc vŞ quan träng. Sau mÊy m­¬i n¨m, t×nh c¶m cña Lôc Du dµnh cho §­êng UyÓn vÉn kh«ng phai nhßa, chµng vÉn viÕt nhiÒu bµi th¬ t­ëng nhí ®Õn nµng.<enter/>  C¶ ®êi Lôc Du chØ bĞn duyªn víi §­êng UyÓn kho¶ng 20 n¨m, nh­ng ®· dïng h¬n 60 n¨m cuéc ®êi ®Ó t­ëng nhí ng­êi x­a.<enter/>  §­êng UyÓn lµ mét ng­êi rÊt träng t×nh nghÜa, nh­ng ®¸ng tiÕc cuéc t×nh cña nµng víi Lôc Du ®· bŞ hñy ho¹i bëi chİnh nh÷ng lÒ thãi cuéc ®êi.<enter/>  Cã ng­êi nãi, nÕu hai bªn ®· bu«ng xu«i, vËy th× cí sao cßn quyÕn luyÕn, ®Ó lì dì c¶ ®«i ®­êng? Tõ nay trë thµnh ng­êi d­ng kh«ng tèt h¬n sao?<enter/>  T×nh c¶m cña TriÖu SÜ Tr×nh ®· xoa dŞu nçi ®au cña §­êng UyÓn, nh­ng mèi t×nh cña nµng víi Lôc Du vÉn m·i kh«ng phai mê. Chİnh ®iÒu ®ã ®· khiÕn nµng kh«ng thÓ b­íc khái ngâ côt, ®Ó råi chØ ®Ó l¹i cho ®êi mét c©u chuyÖn t×nh buån, khiÕn ng­êi kh«ng khái xuıt xoa th­¬ng c¶m.<enter/>  Chóng ta h·y cïng tr©n träng mèi t×nh ®· ®Õn víi m×nh! Chóc c¶ thiªn h¹, ng­êi yªu nhau sÏ ®Õn ®­îc víi nhau!<color>
