Task_Name	Task_ID	Task_Flag	From_NPC	To_NPC	Ex_Condition	Finish_Condition	Task_Action	Task_Prize	Action_Room_Weight	Prize_Room_Weight	Cancel_Task	Skip_Task	Skip_Is_NeedConditionItem	Skip_Cost_No_Item
Tªn nhiÖm vô 	ID nhiÖm vô (yªu cÇu ®Õm liªn tôc tõ 1 trë lªn)	lËp l¹i, ghi ký hiÖu	Tªn npc nhËn nhiÖm vô	Tªn npc hoµn thµnh nhiÖm vô	§iÒu kiÖn tiÒn ®Ò. b¶ng gtask_condition.txt	§iÒu kiÖn hoµn thµnh, b¶ng gtask_condition.txt	NhiÖm vô Action, b¶ng gtask_prize.txt	PhÇn th­ëng hoµn thµnh, b¶ng gtask_prize.txt	KiÓm tra t¶i träng kh«ng gian Action, dïng dÊu "";"" ®Ó c¸ch ra	KiÓm tra t¶i träng kh«ng gian Prize, dïng dÊu "","" ®Ó c¸ch ra	Hñy nhiÖm vô, ®iÒn-1 tøc kh«ng thÓ hñy nhÖm vô, ®iÒn sè tøc cÇn tiªu hao l­îng tiÒn, ®¬n vÞ tÝnh: ®ång	Bá qua nhiÖm vô, ®iÒn -1 nghÜa lµ nhiÖm vô kh«ng thÓ bá qua, ®iÒn trÞ sè nghÜa lµ cÇn tiªu hao bao nhiªu tiÒn, ®iÒn g;d;p;num nghÜa lµ cÇn tiªu hao bao nhiªu ®¹o cô	Bá qua nhiÖm vô cÇn vËt phÈm 1 trong ®iÒu kiÖn	if(Skip_Is_NeedConditionItem == 0 && Skip_Cost_No_Item == 1), won't cost item when player skip it
T×m kú d­îc kh¸ng ®éc	1	0	Chñ töu lÇu	Nh¹c BÊt QuÇn	30001			30001&30019	1;0	1;0	-1	-1		
Thu thËp nguyªn liÖu chÕ d­îc	2	0	Nh¹c BÊt QuÇn	Nh¹c BÊt QuÇn	30002	30003&30004	30103&30104	30020	1;0	1;0	1	-1		
T×m hiÓu t×nh h×nh b¸ t¸nh	3	0	Nh¹c BÊt QuÇn	B¸ch HiÓu Sinh	30002	30134	30002	30021	1;0	1;0	-1	-1		
ThØnh gi¸o B¹ch Danh Danh	4	0	B¸ch HiÓu Sinh	B¹ch Doanh Doanh	30128			30023	1;0	1;0	-1	-1		
Thu thËp nguyªn liÖu ®éc d­îc	5	0	B¹ch Doanh Doanh	B¹ch Doanh Doanh	30002	30005&30122	30003	30024	1;0	1;0	1	-1		
Th¨m hái Tö H¹c Ch©n Nh©n	6	0	B¹ch Doanh Doanh	Tö H¹c ch©n nh©n	30002			30025	1;0	1;0	-1	-1		
ThØnh gi¸o Tö H¹c Ch©n Nh©n	7	0	Tö H¹c ch©n nh©n	Bao tr­ëng l·o	30002			30026	1;0	1;0	1	-1		
§o¹t lÊy DÉn Hån Linh	8	0	Bao tr­ëng l·o	Tö H¹c ch©n nh©n	30002	30034	30108&30118	30027	1;0	1;0	1	-1		
Hái c¸ch Tiªu Linh	9	0	Tö H¹c ch©n nh©n	Thî rÌn L­u	30002			30028	1;0	1;0	-1	-1		
Thu thËp nguyªn liÖu Tiªu Linh	10	0	Thî rÌn L­u	Thî rÌn L­u	30002	30006&30007&30008		30029	1;0	1;0	1	-1		
LuyÖn chÕ dung dÞch	11	0	Thî rÌn L­u	Thî rÌn L­u	30002			30030	1;0	1;0	-1	-1		
Gi¶i cøu b¸ t¸nh	12	0	Thî rÌn L­u	Lý L·o	30002	30135	30005	30031	1;0	1;0	-1	-1		
T×m râ néi t×nh	13	0	Lý L·o	Nh¹c BÊt QuÇn	30002			30032	1;0	1;0	-1	-1		
BÈm b¸o t×nh h×nh	14	0	Nh¹c BÊt QuÇn	V« Danh T¨ng	30002	30009	30006	30033	1;0	1;0	1	-1		
Th¨m hái V« Danh T¨ng	15	0	V« Danh T¨ng	V« Danh T¨ng	30002			30109&30034	1;0	1;0	-1	-1		
Tham gia §¹i Héi Vâ L©m	16	0	V« Danh T¨ng	Nh¹n Kha	30002			30035	1;0	1;0	-1	-1		
§Õn gÆp Nh¹n Kh¶	17	0	Nh¹n Kha	D­¬ng Liªn §×nh	30002			30036	1;0	1;0	-1	-1		
§¸nh b¹i tø ®¹i gi¸o ®å	18	0	D­¬ng Liªn §×nh	D­¬ng Liªn §×nh	30002	30010	30110	30037	1;0	1;0	1	-1		
Tra hái D­¬ng Liªn §×nh	19	0	D­¬ng Liªn §×nh	V« Danh T¨ng	30002			30038	1;0	1;0	-1	-1		
CÇu cøu V« Danh T¨ng	20	0	V« Danh T¨ng	Nh¹c BÊt QuÇn	30002			30039	1;0	1;0	-1	-1		
T×m ®­îc manh mèi míi	21	0	Nh¹c BÊt QuÇn	H­íng VÊn Thiªn	30002			30040	1;0	1;0	-1	-1		
Th¨m hái H­íng VÊn Thiªn	22	0	H­íng VÊn Thiªn	Téc tr­ëng Miªu LÜnh	30002			30041	1;0	1;0	-1	-1		
Tiªu diÖt H¾c Tr­	23	0	Téc tr­ëng Miªu LÜnh	Téc tr­ëng Miªu LÜnh	30002	30011	30111	30042	1;0	1;0	-1	-1		
§o¹t lÊy r­îu ngon	24	0	Téc tr­ëng Miªu LÜnh	H­íng VÊn Thiªn	30002	30012	30007	30043	1;0	1;0	-1	-1		
BiÕt ®­îc ch©n t­íng	25	0	H­íng VÊn Thiªn	§an Thanh Sinh	30002		30008	30044	1;0	1;0	-1	-1		
Th¨m hái §an Thanh Sinh	26	0	§an Thanh Sinh	§an Thanh Sinh	30002			30045	1;0	1;0	-1	-1		
Thö th¸ch cña §an Thanh Sinh	27	0	§an Thanh Sinh	¢u D­¬ng Häa 	30002			30046	1;0	1;0	-1	-1		
§o¹t lÊy tranh vÏ	28	0	¢u D­¬ng Häa 	¢u D­¬ng Häa 	30002	30016&30017		30047	1;0	1;0	-1	-1		
Giao tranh vÏ	29	0	¢u D­¬ng Häa 	§an Thanh Sinh	30002	30018	30009	30048	1;0	1;0	-1	-1		
Th¨m hái Tó Bót ¤ng	30	0	§an Thanh Sinh	Tó Bót ¤ng	30002	30019	30010	30049	1;0	1;0	-1	-1		
ThØnh gi¸o V¹n Sù Th«ng	31	0	Tó Bót ¤ng	V¹n Sù Th«ng	30002			30050	1;0	1;0	-1	-1		
Trõng trÞ quan sø	32	0	V¹n Sù Th«ng	Th«n tr­ëng	30002	30020		30051	1;0	1;0	-1	-1		
Giao nép th­ tÝn	33	0	Th«n tr­ëng	V¹n Sù Th«ng	30002	30022	30013&30012	30052	1;0	1;0	-1	-1		
T×m Tr­¬ng §¹i H÷u	34	0	V¹n Sù Th«ng	Tr­¬ng §¹i H÷u	30130			30054	1;0	1;0	-1	-1		
