Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Håi phôc thuéc tİnh1	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (1)	Håi phôc thuéc tİnh2	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (2)	Håi phôc thuéc tİnh3	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (3)	Håi phôc thuéc tİnh4	TrŞ sè phôc håi thuéc tİnh mçi n÷a gi©y (4)	Thêi gian duy tr× hiÖu lùc (Sè ch½n)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã thÓ giao dŞch hay kh«ng ( 0 cã thÓ giao dŞch, cã thÓ b¸n; 1 kh«ng thÓ giao dŞch kh«ng thÓ b¸n; 2 cã thÓ b¸n, kh«ng thÓ giao dŞch; 3 kh«ng thÓ b¸n, cã thÓ giao dŞch; 4 cã thÓ b¸n, sau khi mang vµo sÏ bŞ khãa)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	B¶o l­u 1	B¶o l­u 2	B¶o l­u 3	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Ngßi Ph¸o	2	200	1	0	0	2000												\image\item\other\±¬ÖñÒıĞÅ32.spr	\image\item\other\±¬ÖñÒıĞÅ80.spr	Dïng ®Ó chÕ t¹o Ph¸o Hoa Huy Hoµng vµ Ph¸o Hoa Rùc Rì		ThÇn bİ		1	0	0							
èng Phãng	2	200	2	0	0	2000												\image\item\other\ÖÀµ¯Í²32.spr	\image\item\other\ÖÀµ¯Í²80.spr	Dïng ®Ó chÕ t¹o Ph¸o Hoa Huy Hoµng vµ Ph¸o Hoa Rùc Rì		ThÇn bİ		1	0	0							
Thuèc Næ	2	200	3	0	0	2000												\image\item\other\Õ¨Ò©32.spr	\image\item\other\Õ¨Ò©80.spr	Dïng ®Ó chÕ t¹o Ph¸o Hoa §¹i LÔ.		ThÇn bİ		1	0	0							
Ph¸o Hoa Huy Hoµng	2	200	4	0	0	2000												\image\item\other\»Ô»Í±¬Öñ32.spr	\image\item\other\»Ô»Í±¬Öñ80.spr	Dïng Ngßi Ph¸o vµ èng Phãng chÕ t¹o ra		ThÇn bİ		1	0	1							
Ph¸o Hoa Rùc Rì	2	200	5	0	0	2000												\image\item\other\²ÓÀÃ±¬Öñ32.spr	\image\item\other\²ÓÀÃ±¬Öñ80.spr	Dïng Ngßi Ph¸o vµ èng Phãng chÕ t¹o ra		ThÇn bİ		1	0	1							
Ph¸o Hoa §¹i LÔ	2	200	6	0	0	2000												\image\item\other\½ÚÈÕ±¬Öñ32.spr	\image\item\other\½ÚÈÕ±¬Öñ80.spr	Dïng Ph¸o Hoa Huy Hoµng, Ph¸o Hoa Rùc Rì vµ Thuèc Næ chÕ t¹o ra		ThÇn bİ		1	0	1							
C¸c lo¹i ®Ëu	2	200	7	0	0	2000												\image\item\other\¸÷Àà¶¹32.spr	\image\item\other\¸÷Àà¶¹80.spr	Dïng ®Ó nÊu ChÌ ba mµu vµ ChÌ ThËp CÈm		ThÇn bİ		1	0	0							
§­êng PhÌn	2	200	8	0	0	2000												\image\item\other\±ùÌÇ32.spr	\image\item\other\±ùÌÇ80.spr	Dïng ®Ó nÊu ChÌ ba mµu vµ ChÌ ThËp CÈm		ThÇn bİ		1	0	0							
H¹t Sen	2	200	9	0	0	2000												\image\item\other\Á«×Ó32.spr	\image\item\other\Á«×Ó80.spr	Dïng ®Ó nÊu ChÌ Sen		ThÇn bİ		1	0	0							
ChÌ ba mµu	2	200	10	0	0	2000												\image\item\other\ÈıÉ«¸ş32.spr	\image\item\other\ÈıÉ«¸ş80.spr	Dïng §­êng PhÌn vµ c¸c lo¹i §Ëu chÕ t¹o ra		ThÇn bİ		1	0	1							
ChÌ ThËp CÈm	2	200	11	0	0	2000												\image\item\other\Ê²½õ¸ş32.spr	\image\item\other\Ê²½õ¸ş80.spr	Dïng §­êng PhÌn vµ c¸c lo¹i §Ëu chÕ t¹o ra		ThÇn bİ		1	0	1							
ChÌ Sen	2	200	12	0	0	2000												\image\item\other\Á«×Ó¸ş32.spr	\image\item\other\Á«×Ó¸ş80.spr	Dïng Canh Tam S¾c, Canh ThËp CÈm vµ H¹t Sen chÕ t¹o ra		ThÇn bİ		1	0	1							
DiÒu GiÊy	2	200	13	0	0	2000												\image\item\other\Ö½ğ° 32.spr	\image\item\other\Ö½ğ° 80 .spr	Dïng ®Ó chÕ t¹o Hép §å Ch¬i Nhá vµ Hép §å Ch¬i Lín		ThÇn bİ		1	0	0							
Con Quay	2	200	14	0	0	2000												\image\item\other\ÍÓÂİ 32.spr	\image\item\other\ÍÓÂİ 80.spr	Dïng ®Ó chÕ t¹o Hép §å Ch¬i Nhá vµ Hép §å Ch¬i Lín		ThÇn bİ		1	0	0							
Robot	2	200	15	0	0	2000												\image\item\other\»úÆ÷ÈË 32.spr	\image\item\other\»úÆ÷ÈË 80.spr	Dïng ®Ó chÕ t¹o Thïng §å Ch¬i		ThÇn bİ		1	0	0							
Hép §å Ch¬i Nhá	2	200	16	0	0	2000												\image\item\other\Ğ¡Íæ¾ßºĞ 32.spr	\image\item\other\Ğ¡Íæ¾ßºĞ 80.spr	Hép ®å ch¬i xinh x¾n		ThÇn bİ		1	0	1							
Hép §å Ch¬i Lín	2	200	17	0	0	2000												\image\item\other\´óÍæ¾ßºĞ 32.spr	\image\item\other\´óÍæ¾ßºĞ 80.spr	Hép §å Ch¬i Lín		ThÇn bİ		1	0	1							
Thïng §å Ch¬i	2	200	18	0	0	2000												\image\item\other\Íæ¾ßÏä 32.spr	\image\item\other\Íæ¾ßÏä 80.spr	Thïng ®å ch¬i chøa ®Çy ®å ch¬i		ThÇn bİ		1	0	1							
Bót Mùc	2	200	19	0	0	2000												\image\item\other\±ÊÄ« 32.spr	\image\item\other\±ÊÄ« 80.spr	Dïng ®Ó chÕ t¹o Kû YÕu vµ L­u Bót		ThÇn bİ		1	0	0							
TËp Vë	2	200	20	0	0	2000												\image\item\other\±¾×Ó 32.spr	\image\item\other\±¾×Ó 80.spr	Dïng ®Ó chÕ t¹o Kû YÕu vµ L­u Bót		ThÇn bİ		1	0	0							
Hoa Phông Hoµng	2	200	21	0	0	2000												\image\item\other\·ï»Ë»¨ 32.spr	\image\item\other\·ï»Ë»¨ 80.spr	Dïng ®Ó chÕ t¹o Sæ Tay Kû NiÖm		ThÇn bİ		1	0	0							
Kû YÕu	2	200	22	0	0	2000												\image\item\other\¼ÍÒª 32.spr	\image\item\other\¼ÍÒª 80.spr	Kû YÕu		ThÇn bİ		1	0	1							
L­u Bót	2	200	23	0	0	2000												\image\item\other\Áô±Ê 32.spr	\image\item\other\Áô±Ê 80.spr	L­u Bót		ThÇn bİ		1	0	1							
Sæ Tay Kû NiÖm	2	200	24	0	0	2000												\image\item\other\¼ÍÄîÊÖÔı 32.spr	\image\item\other\¼ÍÄîÊÖÔı 80.spr	Sæ Tay Kû NiÖm		ThÇn bİ		1	0	1							
N­íc M¾t Chøc N÷	2	200	25	0	0	2000												\image\item\other\Ö¯Å®µÄÑÛÀá32.spr	\image\item\other\Ö¯Å®µÄÑÛÀá80.spr	Dïng ®Ó chÕ t¹o hép quµ Ng­u Lang vµ hép quµ Chøc N÷		ThÇn bİ		1	0	0							
§ãa Hoa Ng­u Lang	2	200	26	0	0	2000												\image\item\other\Å£ÀÉµÄ»¨¶ä32.spr	\image\item\other\Å£ÀÉµÄ»¨¶ä80.spr	Dïng ®Ó chÕ t¹o hép quµ Ng­u Lang vµ hép quµ Chøc N÷		ThÇn bİ		1	0	0							
CÇu ¤ Th­íc	2	200	27	0	0	2000												\image\item\other\ÈµÇÅ32.spr	\image\item\other\ÈµÇÅ80.spr	Dïng ®Ó chÕ t¹o hép quµ Uyªn ¦êng		ThÇn bİ		1	0	0							
Hép Quµ Ng­u Lang	2	200	28	0	0	2000												\image\item\other\Å£ÀÉÀñºĞ32.spr	\image\item\other\Å£ÀÉÀñºĞ80.spr	Hép quµ Ng­u Lang, dïng ®ãa hoa ng­u lang vµ n­íc m¾t chøc n÷ ®Ó t¹o ra		ThÇn bİ		1	0	1							
Hép Quµ Chøc N÷	2	200	29	0	0	2000												\image\item\other\Ö¯Å®ÀñºĞ32.spr	\image\item\other\Ö¯Å®ÀñºĞ80.spr	Hép quµ Chøc N÷, dïng ®ãa hoa Ng­u Lang vµ n­íc m¾t Chøc N÷ ®Ó t¹o ra		ThÇn bİ		1	0	1							
