Tªn Huy Ch­¬ng	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
Huy Ch­¬ng §ång ChÕ	0	153	1	0	0	0	100	20;20					31141	79				\image\item\banghui\½ğÅÆa1.spr	\image\item\banghui\½ğÅÆa0.spr	Huy ch­¬ng ®­îc chÕ t¹o tõ hoµng ®ång, s¸ng vµng rùc rì.		Huy HiÖu		1;8	4	1		0		1	1	1	1
Huy Ch­¬ng ThiÕt ChÕ	0	153	2	0	0	0	100	25;25					31142	80				\image\item\banghui\ÌúÅÆa1.spr	\image\item\banghui\ÌúÅÆa0.spr	Huy ch­¬ng thiÕt chÕ, tuy nÆng nh­ng rÊt thùc dông		Huy HiÖu		1;9	4	1		0		2	2	2	2
Huy Ch­¬ng Ngäc ChÕ	0	153	3	0	0	0	100	30;30					31143	90				\image\item\banghui\ÓñÅÆa1.spr	\image\item\banghui\ÓñÅÆa0.spr	Huy ch­¬ng ®­îc chÕ t¹o tõ ngäc th¹ch, cã c«ng dông ®Æc biÖt		Huy HiÖu		1;10	4	1		0		3	3	3	3
Huy Ch­¬ng Kim ChÕ ngò hµnh	0	153	4	0	0	0	100	35;35					31144	80				\image\item\banghui\»ÕÕÂ1_½ğa1.spr	\image\item\banghui\»ÕÕÂ1_½ğa0.spr	Cã ®­îc huy ch­¬ng kim chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc huy ch­¬ng thuéc tİnh ®Æc tr­ng		Huy HiÖu		1;10	4	1		0		3	4	4	4
Huy Ch­¬ng Méc ChÕ ngò hµnh	0	153	5	0	0	0	100	35;35					31145	80				\image\item\banghui\»ÕÕÂ1_Ä¾a1.spr	\image\item\banghui\»ÕÕÂ1_Ä¾a0.spr	Cã ®­îc huy ch­¬ng méc chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc huy ch­¬ng thuéc tİnh ®Æc tr­ng		Huy HiÖu		1;10	4	1		0		3	5	4	4
Huy Ch­¬ng Thñy ChÕ ngò hµnh	0	153	6	0	0	0	100	35;35					31146	80				\image\item\banghui\»ÕÕÂ1_Ë®a1.spr	\image\item\banghui\»ÕÕÂ1_Ë®a0.spr	Cã ®­îc huy ch­¬ng thñy chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc huy ch­¬ng thuéc tİnh ®Æc tr­ng		Huy HiÖu		1;10	4	1		0		3	6	4	4
Huy Ch­¬ng Háa ChÕ ngò hµnh	0	153	7	0	0	0	100	35;35					31147	80				\image\item\banghui\»ÕÕÂ1_»ğa1.spr	\image\item\banghui\»ÕÕÂ1_»ğa0.spr	Cã ®­îc huy ch­¬ng háa chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc huy ch­¬ng thuéc tİnh ®Æc tr­ng		Huy HiÖu		1;10	4	1		0		3	7	4	4
Huy Ch­¬ng Thæ ChÕ ngò hµnh	0	153	8	0	0	0	100	35;35					31148	80				\image\item\banghui\»ÕÕÂ1_ÍÁa1.spr	\image\item\banghui\»ÕÕÂ1_ÍÁa0.spr	Cã ®­îc huy ch­¬ng thæ chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc huy ch­¬ng thuéc tİnh ®Æc tr­ng		Huy HiÖu		1;10	4	1		0		3	8	4	4
Huy Ch­¬ng ¢m ChÕ ngò hµnh	0	153	9	0	0	0	100	35;35					31149	80				\image\item\banghui\»ÕÕÂ1_Òõa1.spr	\image\item\banghui\»ÕÕÂ1_Òõa0.spr	Cã ®­îc huy ch­¬ng ©m chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc huy ch­¬ng thuéc tİnh ®Æc tr­ng		Huy HiÖu		1;10	4	1		0		3	9	7	4
Huy Ch­¬ng Tèng T­íng Qu©n	0	153	10	0	0	0	100	35;35					31150	80		1		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	Huy Ch­¬ng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8
Huy Ch­¬ng Tèng T­íng Qu©n	0	153	11	0	0	0	100	35;35					31151	80		2		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	Huy Ch­¬ng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8
Huy Ch­¬ng Tèng T­íng Qu©n	0	153	12	0	0	0	100	35;35					31152	80		3		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	Huy Ch­¬ng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8
Huy Ch­¬ng Tèng T­íng Qu©n	0	153	13	0	0	0	100	35;35					31153	80		4		\image\item\banghui\½«¾ü»ÕÕÂ 36.spr	\image\item\banghui\½«¾ü»ÕÕÂ 120.spr	Huy Ch­¬ng Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	10	8
Huy Ch­¬ng Tèng Nguyªn So¸i	0	153	14	0	0	0	100	35;35					31154	80		1		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	Huy Ch­¬ng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9
Huy Ch­¬ng Tèng Nguyªn So¸i	0	153	15	0	0	0	100	35;35					31155	80		2		\image\item\banghui\ÔªË§»ÕÕÂ36.spr	\image\item\banghui\ÔªË§»ÕÕÂ120.spr	Huy Ch­¬ng Tèng Nguyªn So¸i anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Huy HiÖu	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	11	11	9
