AppendixID	Route	ItemAttr1	Rate1	NeedExp1	ItemAttr2	Rate2	NeedExp2	ItemAttr3	Rate3	NeedExp3	ItemAttr4	Rate4	NeedExp4	ItemAttr5	Rate5	NeedExp5	ItemAttr6	Rate6	NeedExp6	ItemAttr7	Rate7	NeedExp7	ItemAttr8	Rate8	NeedExp8
1	2	14094	1;100	150	14095	1;100	150	14025	1;15	400	14028	10;30	500	14029	10;30	600	14030	1;20	700	14161	1;100	1000	14162	1;7	100000000
2	3	14094	1;100	150	14095	1;100	150	14026	1;15	400	14031	30;50	500	14032	10;30	600	14033	1;20	700	14161	1;100	1000	14162	1;7	100000000
3	4	14094	1;100	150	14095	1;100	150	14026	1;15	400	14034	30;50	500	14035	10;30	600	14036	1;20	700	14161	1;100	1000	14162	1;7	100000000
4	6	14094	1;100	150	14095	1;100	150	14027	5;20	400	14037	30;50	500	14038	10;30	600	14039	1;20	700	14161	1;100	1000	14162	1;7	100000000
5	8	14094	1;100	150	14095	1;100	150	14026	1;15	400	14088	50;100	500	14089	1;10	600	14090	15;35	700	14161	1;100	1000	14162	1;7	100000000
6	9	14094	1;100	150	14095	1;100	150	14026	1;15	400	14091	30;50	500	14092	30;50	600	14093	1;20	700	14161	1;100	1000	14162	1;7	100000000
7	11	14094	1;100	150	14095	1;100	150	14025	1;15	400	14043	30;50	500	14044	30;50	600	14045	1;20	700	14161	1;100	1000	14162	1;7	100000000
8	12	14094	1;100	150	14095	1;100	150	14027	5;20	400	14046	30;50	500	14047	10;30	600	14048	1;20	700	14161	1;100	1000	14162	1;7	100000000
9	14	14094	1;100	150	14095	1;100	150	14026	1;15	400	14049	30;50	500	14050	10;30	600	14051	1;20	700	14161	1;100	1000	14162	1;7	100000000
10	15	14094	1;100	150	14095	1;100	150	14027	5;20	400	14052	30;50	500	14053	10;30	600	14054	1;20	700	14161	1;100	1000	14162	1;7	100000000
11	17	14094	1;100	150	14095	1;100	150	14025	1;15	400	14055	30;50	500	14056	10;30	600	14057	1;20	700	14161	1;100	1000	14162	1;7	100000000
12	18	14094	1;100	150	14095	1;100	150	14027	5;20	400	14058	30;50	500	14059	10;30	600	14060	1;20	700	14161	1;100	1000	14162	1;7	100000000
13	20	14094	1;100	150	14095	1;100	150	14027	5;20	400	14061	30;50	500	14062	10;30	600	14063	1;20	700	14161	1;100	1000	14162	1;7	100000000
14	21	14094	1;100	150	14095	1;100	150	14026	1;15	400	14064	30;50	500	14065	10;30	600	14066	1;20	700	14161	1;100	1000	14162	1;7	100000000
15	23	14094	1;100	150	14095	1;100	150	14026	1;15	400	14067	30;50	500	14069	1;20	600	14068	10;30	700	14161	1;100	1000	14162	1;7	100000000
16	25	14094	1;100	150	14095	1;100	150	14025	1;15	400	14070	30;50	500	14071	1;10	600	14072	1;20	700	14161	1;100	1000	14162	1;7	100000000
17	26	14094	1;100	150	14095	1;100	150	14025	1;15	400	14073	30;50	500	14074	1;10	600	14075	1;20	700	14161	1;100	1000	14162	1;7	100000000
18	27	14094	1;100	150	14095	1;100	150	14026	1;15	400	14076	30;50	500	14077	30;50	600	14078	1;20	700	14161	1;100	1000	14162	1;7	100000000
19	29	14094	1;100	150	14095	1;100	150	14025	1;15	400	14079	10;30	500	14080	30;50	600	14081	1;20	700	14161	1;100	1000	14162	1;7	100000000
20	30	14094	1;100	150	14095	1;100	150	14027	5;20	400	14082	30;50	500	14083	10;30	600	14084	1;20	700	14161	1;100	1000	14162	1;7	100000000
21	31	14094	1;100	150	14095	1;100	150	14025	1;15	400	14040	10;30	500	14041	30;50	600	14042	1;20	700	14161	1;100	1000	14162	1;7	100000000
22	32	14094	1;100	150	14095	1;100	150	14027	5;20	400	14085	30;50	500	14086	10;30	600	14087	1;20	700	14161	1;100	1000	14162	1;7	100000000
