ItemIndex	GroupName	GDP	SellType	SellPrices	PopPrice	GiftPrice	Not4Sale	Sort	Scale	Position	Action	Charm
1	Thó c­ìi b¸n	0;105;15	2	9999;200;9999	10			1	0.3	0;40	®øng yªn b×nh th­êng	60
2	Thó c­ìi b¸n	0;105;16	2	9999;150;9999	10			1	0.3	0;40	®øng yªn b×nh th­êng	45
3	Thó c­ìi b¸n	0;105;19	2	9999;150;9999	10			1	0.3	0;40	®øng yªn b×nh th­êng	45
4	Thó c­ìi b¸n	0;105;49	2	9999;200;9999	10			1	0.3	0;40	®øng yªn b×nh th­êng	60
5	Thó c­ìi b¸n	0;105;50	2	9999;200;9999	10			1	0.3	0;40	®øng yªn b×nh th­êng	60
6	Thó c­ìi b¸n	0;105;20	2	9999;150;9999	10			1	0.3	0;40	®øng yªn b×nh th­êng	45
7	Thó c­ìi b¸n	0;105;34	2	9999;200;9999	10			1	0.3	0;40	®øng yªn b×nh th­êng	60
8	Thó c­ìi b¸n	0;105;30001	2	9999;400;9999	10			1	0.3	0;40	®øng yªn b×nh th­êng	150
9	Thó c­ìi b¸n	0;105;30002	2	9999;400;9999	10			1	0.3	0;40	®øng yªn b×nh th­êng	150
10	Thó c­ìi b¸n	0;105;30003	2	9999;400;9999	10			1	0.3	0;40	®øng yªn b×nh th­êng	150
11	Thó c­ìi b¸n	0;105;30004	2	9999;400;9999	10			1	0.3	0;40	®øng yªn b×nh th­êng	150
12	UyÓn C©u Ký TuÊn	0;105;1		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	15
13	UyÓn C©u Ký TuÊn	0;105;2		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	15
14	UyÓn C©u Ký TuÊn	0;105;3		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	15
15	UyÓn C©u Ký TuÊn	0;105;4		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	15
16	UyÓn C©u Ký TuÊn	0;105;5		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	15
17	UyÓn C©u Ký TuÊn	0;105;6		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	15
18	UyÓn C©u Ký TuÊn	0;105;7		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	15
19	UyÓn C©u Ký TuÊn	0;105;8		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	15
20	UyÓn C©u Ký TuÊn	0;105;9		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	30
21	UyÓn C©u Ký TuÊn	0;105;11		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	30
22	UyÓn C©u Ký TuÊn	0;105;12		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	30
23	UyÓn C©u Ký TuÊn	0;105;13		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	30
24	UyÓn C©u Ký TuÊn	0;105;14		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	30
25	UyÓn C©u Ký TuÊn	0;105;17		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	30
26	UyÓn C©u Ký TuÊn	0;105;18		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	30
27	UyÓn C©u Ký TuÊn	0;105;37		99999;99999;99999	10		1	2	0.3	0;40	®øng yªn b×nh th­êng	100
28	D­¬ng M«n chiÕn m·	0;105;10		99999;99999;99999	10		1	3	0.3	0;40	®øng yªn b×nh th­êng	15
29	D­¬ng M«n chiÕn m·	0;105;22		99999;99999;99999	10		1	3	0.3	0;40	®øng yªn b×nh th­êng	15
30	D­¬ng M«n chiÕn m·	0;105;23		99999;99999;99999	10		1	3	0.3	0;40	®øng yªn b×nh th­êng	15
31	D­¬ng M«n chiÕn m·	0;105;24		99999;99999;99999	10		1	3	0.3	0;40	®øng yªn b×nh th­êng	50
32	D­¬ng M«n chiÕn m·	0;105;38		99999;99999;99999	10		1	3	0.3	0;40	®øng yªn b×nh th­êng	100
33	ThÇn C©u	0;105;39		99999;99999;99999	10		1	4	0.3	0;40	®øng yªn b×nh th­êng	50
34	ThÇn C©u	0;105;40		99999;99999;99999	10		1	4	0.3	0;40	®øng yªn b×nh th­êng	50
35	ThÇn C©u	0;105;36		99999;99999;99999	10		1	4	0.3	0;40	®øng yªn b×nh th­êng	100
36	ChiÕn m· Nguyªn So¸i	0;105;51		99999;99999;99999	10		1	5	0.3	0;40	®øng yªn b×nh th­êng	15
37	ChiÕn m· Nguyªn So¸i	0;105;52		99999;99999;99999	10		1	5	0.3	0;40	®øng yªn b×nh th­êng	15
38	Thiªn LÝ Truy Phong	0;105;107		99999;99999;99999	10		1	6	0.3	0;40	®øng yªn b×nh th­êng	300
39	Thiªn LÝ Truy Phong	0;105;108		99999;99999;99999	10		1	6	0.3	0;40	®øng yªn b×nh th­êng	300
40	Thiªn LÝ Truy Phong	0;105;109		99999;99999;99999	10		1	6	0.3	0;40	®øng yªn b×nh th­êng	300
41	Kú Thó	0;105;30044		99999;99999;99999	50		1	25	0.3	0;40	®øng yªn b×nh th­êng	500
42	Kú Thó	0;105;166		99999;99999;99999	50		1	25	0.3	0;40	®øng yªn b×nh th­êng	300
43	Kú Thó	0;105;30048		99999;99999;99999	50		1	25	0.3	0;40	®øng yªn b×nh th­êng	300
44	Kú Thó	0;105;30000		99999;99999;99999	50		1	25	0.3	0;40	®øng yªn b×nh th­êng	300
45	Kú Thó	0;105;30049		99999;99999;99999	50		1	25	0.3	0;40	®øng yªn b×nh th­êng	300
46	Kú Thó	0;105;33		99999;99999;99999	50		1	25	0.3	0;40	®øng yªn b×nh th­êng	300
47	Kú Thó	0;105;141		99999;99999;99999	50		1	25	0.3	0;40	®øng yªn b×nh th­êng	500
48	Linh Thó	0;105;30017		99999;99999;99999	50		1	7	0.3	0;40	®øng yªn b×nh th­êng	150
49	Linh Thó	0;105;30018		99999;99999;99999	50		1	7	0.3	0;40	®øng yªn b×nh th­êng	150
50	Linh Thó	0;105;30019		99999;99999;99999	50		1	7	0.3	0;40	®øng yªn b×nh th­êng	150
51	Linh Thó	0;105;30020		99999;99999;99999	50		1	7	0.3	0;40	®øng yªn b×nh th­êng	150
52	Linh Thó	0;105;30021		99999;99999;99999	50		1	7	0.3	0;40	®øng yªn b×nh th­êng	150
53	Linh Thó	0;105;30031		99999;99999;99999	50		1	7	0.3	0;40	®øng yªn b×nh th­êng	150
54	Linh Thó	0;105;30032		99999;99999;99999	50		1	7	0.3	0;40	®øng yªn b×nh th­êng	150
55	Hao Ng­u	0;105;30022		99999;99999;99999	50		1	8	0.3	0;40	®øng yªn b×nh th­êng	150
