ID	Title	AwrdItem	NeedSex	NeedBody	NeedRoute	AwardTimes	GlobalMsg	ExchangeMode	TimeLimitHours	StatKey
50000	ChiÕn Cuång Thiªn §Þa M¹o	0;103;30143;1	1	1	2			50000		
50001	ChiÕn Cuång Thiªn §Þa M¹o	0;103;30144;1	1	2	2			50001		
50002	ChiÕn Cuång Phæ TÕ M¹o	0;103;30147;1	1	1	3			50002		
50003	ChiÕn Cuång Phæ TÕ M¹o	0;103;30148;1	1	2	3			50003		
50004	ChiÕn Cuång Thiªn T«n M¹o	0;103;30145;1	1	1	4			50004		
50005	ChiÕn Cuång Thiªn T«n M¹o	0;103;30146;1	1	2	4			50005		
50006	ChiÕn Cuång TuyÖt MÖnh Qu¸n	0;103;30149;1	1	1	6			50006		
50007	ChiÕn Cuång TuyÖt MÖnh Qu¸n	0;103;30150;1	1	2	6			50007		
50008	ChiÕn Cuång TuyÖt MÖnh Qu¸n	0;103;30151;1	2	3	6			50008		
50009	ChiÕn Cuång TuyÖt MÖnh Qu¸n	0;103;30152;1	2	4	6			50009		
50010	ChiÕn Cuång Bå T¸t Tr©m	0;103;30153;1	2	3	8			50010		
50011	ChiÕn Cuång Bå T¸t Tr©m	0;103;30154;1	2	4	8			50011		
50012	ChiÕn Cuång L­u Thñy Tr©m	0;103;30155;1	2	3	9			50012		
50013	ChiÕn Cuång L­u Thñy Tr©m	0;103;30156;1	2	4	9			50013		
50014	ChiÕn Cuång ThÇn Du C©n	0;103;30157;1	1	1	11			50014		
50015	ChiÕn Cuång ThÇn Du C©n	0;103;30158;1	1	2	11			50015		
50016	ChiÕn Cuång ThÇn Du C©n	0;103;30159;1	2	3	11			50016		
50017	ChiÕn Cuång ThÇn Du C©n	0;103;30160;1	2	4	11			50017		
50018	ChiÕn Cuång Tiªu Dao C©n	0;103;30161;1	1	1	12			50018		
50019	ChiÕn Cuång Tiªu Dao C©n	0;103;30162;1	1	2	12			50019		
50020	ChiÕn Cuång Tiªu Dao C©n	0;103;30163;1	2	3	12			50020		
50021	ChiÕn Cuång Tiªu Dao C©n	0;103;30164;1	2	4	12			50021		
50022	ChiÕn Cuång V« Vi Qu¸n	0;103;30165;1	1	1	14			50022		
50023	ChiÕn Cuång V« Vi Qu¸n	0;103;30166;1	1	2	14			50023		
50024	ChiÕn Cuång V« Vi Qu¸n	0;103;30167;1	2	3	14			50024		
50025	ChiÕn Cuång V« Vi Qu¸n	0;103;30168;1	2	4	14			50025		
50026	ChiÕn Cuång Cµn Kh«n Qu¸n	0;103;30169;1	1	1	15			50026		
50027	ChiÕn Cuång Cµn Kh«n Qu¸n	0;103;30170;1	1	2	15			50027		
50028	ChiÕn Cuång Cµn Kh«n Qu¸n	0;103;30171;1	2	3	15			50028		
50029	ChiÕn Cuång Cµn Kh«n Qu¸n	0;103;30172;1	2	4	15			50029		
50030	ChiÕn Cuång Thiªn Tinh  Kh«i	0;103;30173;1	1	1	17			50030		
50031	ChiÕn Cuång Thiªn Tinh  Kh«i	0;103;30174;1	1	2	17			50031		
50032	ChiÕn Cuång Thiªn Tinh  Kh«i	0;103;30175;1	2	3	17			50032		
50033	ChiÕn Cuång Thiªn Tinh  Kh«i	0;103;30176;1	2	4	17			50033		
50034	ChiÕn Cuång Xuyªn V©n Kh«i	0;103;30177;1	1	1	18			50034		
50035	ChiÕn Cuång Xuyªn V©n Kh«i	0;103;30178;1	1	2	18			50035		
50036	ChiÕn Cuång Xuyªn V©n Kh«i	0;103;30179;1	2	3	18			50036		
50037	ChiÕn Cuång Xuyªn V©n Kh«i	0;103;30180;1	2	4	18			50037		
50038	ChiÕn Cuång Minh T«n C©n	0;103;30181;1	1	1	20			50038		
50039	ChiÕn Cuång Minh T«n C©n	0;103;30182;1	1	2	20			50039		
50040	ChiÕn Cuång Minh T«n C©n	0;103;30183;1	2	3	20			50040		
50041	ChiÕn Cuång Minh T«n C©n	0;103;30184;1	2	4	20			50041		
50042	ChiÕn Cuång Cæ T©m C©n	0;103;30185;1	1	1	21			50042		
50043	ChiÕn Cuång Cæ T©m C©n	0;103;30186;1	1	2	21			50043		
50044	ChiÕn Cuång Cæ T©m C©n	0;103;30187;1	2	3	21			50044		
50045	ChiÕn Cuång Cæ T©m C©n	0;103;30188;1	2	4	21			50045		
50046	ChiÕn Cuång Phong L«i Qu¸n	0;103;30189;1	1	1	23			50046		
50047	ChiÕn Cuång Phong L«i Qu¸n	0;103;30190;1	1	2	23			50047		
50048	ChiÕn Cuång §¹i §Þa C©n	0;103;30191;1	1	1	25			50048		
50049	ChiÕn Cuång §¹i §Þa C©n	0;103;30192;1	1	2	25			50049		
50050	ChiÕn Cuång §¹i §Þa C©n	0;103;30193;1	2	3	25			50050		
50051	ChiÕn Cuång §¹i §Þa C©n	0;103;30194;1	2	4	25			50051		
50052	ChiÕn Cuång Tóy Méng Qu¸n	0;103;30195;1	1	1	26			50052		
50053	ChiÕn Cuång Tóy Méng Qu¸n	0;103;30196;1	1	2	26			50053		
50054	ChiÕn Cuång Tóy Méng Qu¸n	0;103;30197;1	2	3	26			50054		
50055	ChiÕn Cuång Tóy Méng Qu¸n	0;103;30198;1	2	4	26			50055		
50056	ChiÕn Cuång Ma Vùc  Qu¸n	0;103;30199;1	1	1	27			50056		
50057	ChiÕn Cuång Ma Vùc  Qu¸n	0;103;30200;1	1	2	27			50057		
50058	ChiÕn Cuång Ma Vùc  Qu¸n	0;103;30201;1	2	3	27			50058		
50059	ChiÕn Cuång Ma Vùc  Qu¸n	0;103;30202;1	2	4	27			50059		
50060	ChiÕn Cuång Th¸nh N÷  Tr©m	0;103;30203;1	2	3	29			50060		
50061	ChiÕn Cuång Th¸nh N÷  Tr©m	0;103;30204;1	2	4	29			50061		
50062	ChiÕn Cuång Th¸nh Linh Tr©m	0;103;30205;1	2	3	30			50062		
50063	ChiÕn Cuång Th¸nh Linh Tr©m	0;103;30206;1	2	4	30			50063		
50064	ChiÕn Cuång Bµn V©n Qu¸n	0;103;32169;1	1	1	31			50064		
50065	ChiÕn Cuång Bµn V©n Qu¸n	0;103;32169;1	1	2	31			50065		
50066	ChiÕn Cuång Bµn V©n Qu¸n	0;103;32169;1	2	3	31			50066		
50067	ChiÕn Cuång Bµn V©n Qu¸n	0;103;32169;1	2	4	31			50067		
50068	ChiÕn Cuång Tr¶m Ma Qu¸n	0;103;32170;1	1	1	32			50068		
50069	ChiÕn Cuång Tr¶m Ma Qu¸n	0;103;32170;1	1	2	32			50069		
50070	ChiÕn Cuång Thiªn §Þa Bµo	0;100;30143;1	1	1	2			50070		
50071	ChiÕn Cuång Thiªn §Þa Bµo	0;100;30144;1	1	2	2			50071		
50072	ChiÕn Cuång Phæ TÕ Bµo	0;100;30147;1	1	1	3			50072		
50073	ChiÕn Cuång Phæ TÕ Bµo	0;100;30148;1	1	2	3			50073		
50074	ChiÕn Cuång Thiªn T«n Bµo	0;100;30145;1	1	1	4			50074		
50075	ChiÕn Cuång Thiªn T«n Bµo	0;100;30146;1	1	2	4			50075		
50076	ChiÕn Cuång TuyÖt MÖnh Y	0;100;30149;1	1	1	6			50076		
50077	ChiÕn Cuång TuyÖt MÖnh Y	0;100;30150;1	1	2	6			50077		
50078	ChiÕn Cuång TuyÖt MÖnh Y	0;100;30151;1	2	3	6			50078		
50079	ChiÕn Cuång TuyÖt MÖnh Y	0;100;30152;1	2	4	6			50079		
50080	ChiÕn Cuång Bå T¸t Y	0;100;30153;1	2	3	8			50080		
50081	ChiÕn Cuång Bå T¸t Y	0;100;30154;1	2	4	8			50081		
50082	ChiÕn Cuång L­u ThñyY	0;100;30155;1	2	3	9			50082		
50083	ChiÕn Cuång L­u ThñyY	0;100;30156;1	2	4	9			50083		
50084	ChiÕn Cuång ThÇn Du Y	0;100;30157;1	1	1	11			50084		
50085	ChiÕn Cuång ThÇn Du Y	0;100;30158;1	1	2	11			50085		
50086	ChiÕn Cuång ThÇn Du Y	0;100;30159;1	2	3	11			50086		
50087	ChiÕn Cuång ThÇn Du Y	0;100;30160;1	2	4	11			50087		
50088	ChiÕn Cuång Tiªu Dao Y	0;100;30161;1	1	1	12			50088		
50089	ChiÕn Cuång Tiªu Dao Y	0;100;30162;1	1	2	12			50089		
50090	ChiÕn Cuång Tiªu Dao Y	0;100;30163;1	2	3	12			50090		
50091	ChiÕn Cuång Tiªu Dao Y	0;100;30164;1	2	4	12			50091		
50092	ChiÕn Cuång V« Vi Bµo	0;100;30165;1	1	1	14			50092		
50093	ChiÕn Cuång V« Vi Bµo	0;100;30166;1	1	2	14			50093		
50094	ChiÕn Cuång V« Vi Bµo	0;100;30167;1	2	3	14			50094		
50095	ChiÕn Cuång V« Vi Bµo	0;100;30168;1	2	4	14			50095		
50096	ChiÕn Cuång Cµn Kh«n Bµo	0;100;30169;1	1	1	15			50096		
50097	ChiÕn Cuång Cµn Kh«n Bµo	0;100;30170;1	1	2	15			50097		
50098	ChiÕn Cuång Cµn Kh«n Bµo	0;100;30171;1	2	3	15			50098		
50099	ChiÕn Cuång Cµn Kh«n Bµo	0;100;30172;1	2	4	15			50099		
50100	ChiÕn Cuång Thiªn Tinh  Gi¸p	0;100;30173;1	1	1	17			50100		
50101	ChiÕn Cuång Thiªn Tinh  Gi¸p	0;100;30174;1	1	2	17			50101		
50102	ChiÕn Cuång Thiªn Tinh  Gi¸p	0;100;30175;1	2	3	17			50102		
50103	ChiÕn Cuång Thiªn Tinh  Gi¸p	0;100;30176;1	2	4	17			50103		
50104	ChiÕn Cuång Xuyªn V©n Gi¸p	0;100;30177;1	1	1	18			50104		
50105	ChiÕn Cuång Xuyªn V©n Gi¸p	0;100;30178;1	1	2	18			50105		
50106	ChiÕn Cuång Xuyªn V©n Gi¸p	0;100;30179;1	2	3	18			50106		
50107	ChiÕn Cuång Xuyªn V©n Gi¸p	0;100;30180;1	2	4	18			50107		
50108	ChiÕn Cuång Minh T«n Y	0;100;30181;1	1	1	20			50108		
50109	ChiÕn Cuång Minh T«n Y	0;100;30182;1	1	2	20			50109		
50110	ChiÕn Cuång Minh T«n Y	0;100;30183;1	2	3	20			50110		
50111	ChiÕn Cuång Minh T«n Y	0;100;30184;1	2	4	20			50111		
50112	ChiÕn Cuång Cæ T©m Y	0;100;30185;1	1	1	21			50112		
50113	ChiÕn Cuång Cæ T©m Y	0;100;30186;1	1	2	21			50113		
50114	ChiÕn Cuång Cæ T©m Y	0;100;30187;1	2	3	21			50114		
50115	ChiÕn Cuång Cæ T©m Y	0;100;30188;1	2	4	21			50115		
50116	ChiÕn Cuång Phong L«i Bµo	0;100;30189;1	1	1	23			50116		
50117	ChiÕn Cuång Phong L«i Bµo	0;100;30190;1	1	2	23			50117		
50118	ChiÕn Cuång §¹i §Þa Y	0;100;30191;1	1	1	25			50118		
50119	ChiÕn Cuång §¹i §Þa Y	0;100;30192;1	1	2	25			50119		
50120	ChiÕn Cuång §¹i §Þa Y	0;100;30193;1	2	3	25			50120		
50121	ChiÕn Cuång §¹i §Þa Y	0;100;30194;1	2	4	25			50121		
50122	ChiÕn Cuång Tóy Méng Bµo	0;100;30195;1	1	1	26			50122		
50123	ChiÕn Cuång Tóy Méng Bµo	0;100;30196;1	1	2	26			50123		
50124	ChiÕn Cuång Tóy Méng Bµo	0;100;30197;1	2	3	26			50124		
50125	ChiÕn Cuång Tóy Méng Bµo	0;100;30198;1	2	4	26			50125		
50126	ChiÕn Cuång Ma Vùc  Bµo	0;100;30199;1	1	1	27			50126		
50127	ChiÕn Cuång Ma Vùc  Bµo	0;100;30200;1	1	2	27			50127		
50128	ChiÕn Cuång Ma Vùc  Bµo	0;100;30201;1	2	3	27			50128		
50129	ChiÕn Cuång Ma Vùc  Bµo	0;100;30202;1	2	4	27			50129		
50130	ChiÕn Cuång Th¸nh N÷  Y	0;100;30203;1	2	3	29			50130		
50131	ChiÕn Cuång Th¸nh N÷  Y	0;100;30204;1	2	4	29			50131		
50132	ChiÕn Cuång Th¸nh Linh Y	0;100;30205;1	2	3	30			50132		
50133	ChiÕn Cuång Th¸nh Linh Y	0;100;30206;1	2	4	30			50133		
