Tªn trang søc	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Phßng ngù (Néi, ngo¹i)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi sö dông trang bŞ sÏ hiÓn thŞ tªn lo¹i h×nh	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	§¸nh gi¸ ®¼ng cÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm	
Giµy V¶i Th«	0	154	1	0	0		100	20;20					31123	99				\image\item\banghui\´Ö²¼Ğ¬a1.spr	\image\item\banghui\´Ö²¼Ğ¬a0.spr	Th« bè giµy th«ng th­êng		Giµy		1;8	4	1		0		1	1	1	1	
Tinh Trİ Bè Hµi	0	154	2	0	0		100	25;25					31124	99				\image\item\banghui\¾«ÖÂ²¼Ğ¬a1.spr	\image\item\banghui\¾«ÖÂ²¼Ğ¬a0.spr	Giµy v¶i ®­îc chÕ t¹o c«ng phu, rÊt ®Ñp m¾t		Giµy		1;9	4	1		0		2	2	2	2	
Bè ChÕ Cao §ång Ngoa	0	154	3	0	0		100	30;30					31125	99				\image\item\banghui\²¼ÖÆ¸ßÍ²Ñ¥a1.spr	\image\item\banghui\²¼ÖÆ¸ßÍ²Ñ¥a0.spr	Cao §ång Ngoa ®­îc chÕ t¹o tõ v¶i mang vµo rÊt dÔ chŞu		Giµy		1;10	4	1		0		3	3	3	3	
ChiÕn Hµi Kim ChÕ ngò hµnh	0	154	4	0	0		100	35;35					31126	99				\image\item\banghui\Ğ¬1_½ğa1.spr	\image\item\banghui\Ğ¬1_½ğa0.spr	Cã ®­îc chiÕn hµi kim chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc chiÕn hµi thuéc tİnh ®Æc tr­ng		Giµy		1;10	4	1		0		3	4	6	4	
ChiÕn Hµi Méc ChÕ ngò hµnh	0	154	5	0	0		100	35;35					31127	99				\image\item\banghui\Ğ¬1_Ä¾a1.spr	\image\item\banghui\Ğ¬1_Ä¾a0.spr	Cã ®­îc chiÕn hµi méc chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc chiÕn hµi thuéc tİnh ®Æc tr­ng		Giµy		1;10	4	1		0		3	5	6	4	
ChiÕn Hµi Thñy ChÕ ngò hµnh	0	154	6	0	0		100	35;35					31128	99				\image\item\banghui\Ğ¬1_Ë®a1.spr	\image\item\banghui\Ğ¬1_Ë®a0.spr	Cã ®­îc chiÕn hµi thñy chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc chiÕn hµi thuéc tİnh ®Æc tr­ng		Giµy		1;10	4	1		0		3	6	6	4	
ChiÕn Hµi Háa ChÕ ngò hµnh	0	154	7	0	0		100	35;35					31129	99				\image\item\banghui\Ğ¬1_»ğa1.spr	\image\item\banghui\Ğ¬1_»ğa0.spr	Cã ®­îc chiÕn hµi háa chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc chiÕn hµi thuéc tİnh ®Æc tr­ng		Giµy		1;10	4	1		0		3	7	6	4	
ChiÕn Hµi Thæ ChÕ ngò hµnh	0	154	8	0	0		100	35;35					31130	99				\image\item\banghui\Ğ¬1_ÍÁa1.spr	\image\item\banghui\Ğ¬1_ÍÁa0.spr	Cã ®­îc chiÕn hµi thæ chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc chiÕn hµi thuéc tİnh ®Æc tr­ng		Giµy		1;10	4	1		0		3	8	6	4	
ChiÕn Hµi ¢m ChÕ ngò hµnh	0	154	9	0	0		100	35;35					31131	99				\image\item\banghui\Ğ¬1_Òõa1.spr	\image\item\banghui\Ğ¬1_Òõa0.spr	Cã ®­îc chiÕn hµi ©m chi lùc, cã thÓ ngÉu nhiªn nhËn ®­îc chiÕn hµi thuéc tİnh ®Æc tr­ng		Giµy		1;10	4	1		0		3	9	9	4	
ChiÕn Hµi Tèng T­íng Qu©n	0	154	10	0	0		100	35;35					31150	99		1		\image\item\banghui\½«¾üÕ½Ñ¥36.spr	\image\item\banghui\½«¾üÕ½Ñ¥120.spr	ChiÕn Hµi Tèng T­íng Qu©n anh dòng giÕt ®Şch. <enter><color=Gold> ( thuéc tİnh ph¸t triÓn cã thÓ tiÕn hµnh trïng luyÖn, thuéc tİnh më khãa cè ®Şnh kh«ng thÓ tiÕn hµnh tinh luyÖn)		Giµy	\script\newbattles\battle_equipment_item.lua	1;10	4	1		0		3	10	14	8	
