Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	HiÖu øng	Gi÷ l¹i b	L­u c	L­u d	L­u e	L­u f	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh (1=nam; 2=n÷)	ThÓ h×nh (1=nam tiªu chuÈn; 2=nam kh«i ng«; 3=n÷ gîi c¶m; 4=kiÒu n÷)	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	Khi trang bŞ lªn ng­êi sÏ hiÖn tªn lo¹i h×nh	Khi vøt ra ngoµi; sö dông tµi nguyªn nµo	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch(0 ®­îc,1 kh«ng ®­îc,2 chØ cã thÓ b¸n ë tiÖm,3 chØ cã thÓ b¸n)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	L­u ( Ch÷ sè)	Gi¸ trŞ
							EffectID1;EffectID2															ThÇn bİ							
Nh­ ı (Lam)	0	119	1	0	0		1;2							1	1	1		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı (Lam)	0	119	2	0	0		3;4							1	1	2		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı (Lam)	0	119	3	0	0		5;6							1	2	3		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı (Lam)	0	119	4	0	0		7;8							1	2	4		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
L­u Quang (Kim)	0	119	5	0	0		9;10							1	1	1		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
L­u Quang (Kim)	0	119	6	0	0		11;12							1	1	2		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
L­u Quang (Kim)	0	119	7	0	0		13;14							1	2	3		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
L­u Quang (Kim)	0	119	8	0	0		15;16							1	2	4		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
Nh­ ı(®á)	0	119	9	0	0		17;18							1	1	1		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı(®á)	0	119	10	0	0		19;20							1	1	2		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı(®á)	0	119	11	0	0		21;22							1	2	3		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı(®á)	0	119	12	0	0		23;24							1	2	4		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
L­u Quang (§á)	0	119	13	0	0		25;26							1	1	1		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
L­u Quang (§á)	0	119	14	0	0		27;28							1	1	2		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
L­u Quang (§á)	0	119	15	0	0		29;30							1	2	3		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
L­u Quang (§á)	0	119	16	0	0		31;32							1	2	4		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
Nh­ ı (Kim)	0	119	17	0	0		33;34							1	1	1		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı (Kim)	0	119	18	0	0		35;36							1	1	2		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı (Kim)	0	119	19	0	0		37;38							1	2	3		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
Nh­ ı (Kim)	0	119	20	0	0		39;40							1	2	4		\image\item\ornament\effecthead01a1.spr	\image\item\ornament\effecthead01a0.spr	Trong ©m nh¹c dŞu dµngd,quÇn ¸o ®u ®­a víi móa nh­ ı ®Ñp.		ThÇn bİ		1	2	1			999
L­u Quang (Lam)	0	119	21	0	0		41;42							1	1	1		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
L­u Quang (Lam)	0	119	22	0	0		43;44							1	1	2		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
L­u Quang (Lam)	0	119	23	0	0		45;46							1	2	3		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
L­u Quang (Lam)	0	119	24	0	0		47;48							1	2	4		\image\item\ornament\effecthead02a1.spr	\image\item\ornament\effecthead02a0.spr	Dung hoa diÖu triÒu nhËt, cÈm cÇm nh­îc l­u quang.		ThÇn bİ		1	2	1			999
Siªu Phong (Lam)	0	121	1	0	0		1;2							1	1	1		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
Siªu Phong (Lam)	0	121	2	0	0		3;4							1	1	2		\image\item\ornament\effectfoot01a1.spr	\image\item\ornament\effectfoot01a0.spr	Tr¸ng trİ lªn Thanh V©n, ®i l¹i nh­ siªu phong.		ThÇn bİ		1	2	1			999
