Tªn	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	SÕp chång nhiÒu nhÊt	Thuéc tİnh Kim	Thuéc tİnh Méc	Thuéc tİnh Thñy	Thuéc tİnh Háa	Thuéc tİnh Thæ	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	L­u ( Ch÷ sè)	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	L­u (chuçi kı tù)	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u 3	L­u 4	Gi¸ trŞ
L­u Kim	2	1	31096	0	0	999												\image\item\other\Ñ×»ÆÌú»êa1.spr	\image\item\other\Ñ×»ÆÌú»êa0.spr	Mét lo¹i thuéc Kim thÇn kú, cã thÓ dïng ®Ó c­êng hãa V¨n Søc		Sinh ho¹t		1	3	1			
Thiªn V¨n Th¹ch	2	201	13	0	0	999												\image\item\stone\ÁéÆÇÊ¯×Ï7a1.spr	\image\item\stone\ÁéÆÇÊ¯×Ï7a0.spr	§¸ th¹ch ph¸t ra ¸nh s¸ng thÇn bİ, lµ nguyªn liÖu ®Ó hç trî c­êng hãa V¨n Søc		Sinh ho¹t		1	0	1			999
Cæ Kim Th¹ch	2	201	14	0	0	1												\image\item\wenshi\¹Å½ğÊ¯a1.spr	\image\item\wenshi\¹Å½ğÊ¯a0.spr	Kim Th¹ch ®­îc phñ vµng rÊt ®Ñp, cã  thÓ n©ng l­îng lín cÊp ®é cho V¨n Søc		Sinh ho¹t	\script\isolate\functions\armory\item\armory_enhance.lua	1	3	1			999
§iÓm Tinh Ngäc	2	201	15	0	0	1												\image\item\wenshi\µã¾¦Óña1.spr	\image\item\wenshi\µã¾¦Óña0.spr	B¶o ngäc dïng ®Ó lµm trang trİ cho §»ng Long  §å Long Nh·n, cã thÓ kİch ho¹t tiÒm n¨ng cña V¨n Søc lªn ®Õn cùc h¹n, trùc tiÕp t¨ng c­êng V¨n Søc lªn cÊp 15, phÈm chÊt n©ng lªn hoµn mü		Sinh ho¹t	\script\isolate\functions\armory\item\armory_enhance.lua	1	3	1			999
§iÓm Tinh Ngäc-Nhá	2	201	16	0	0	1												\image\item\wenshi\µã¾¦Óña1.spr	\image\item\wenshi\µã¾¦Óña0.spr	B¶o ngäc dïng ®Ó lµm trang trİ cho §»ng Long §å Long Nh·n, cã thÓ kİch ho¹t tiÒm n¨ng cña V¨n Søc, trùc tiÕp t¨ng c­êng V¨n Søc lªn cÊp 15		Sinh ho¹t	\script\isolate\functions\armory\item\armory_enhance.lua	1	3	1			999
H¹ cÊp luyÖn kiÕm th¹ch	2	201	17	0	50	9999												\image\item\other\meta_001a1.spr	\image\item\other\meta_001a0.spr	Nguyªn liÖu luyÖn kiÕm s¬ cÊp		Sinh ho¹t		1	2	1			999
Trung cÊp luyÖn kiÕm th¹ch	2	201	18	0	500	9999												\image\item\other\meta_002a1.spr	\image\item\other\meta_002a0.spr	Nguyªn liÖu luyÖn kiÕm trung cÊp		Sinh ho¹t		1	2	1			999
Th­îng cÊp luyÖn kiÕm th¹ch	2	201	19	0	5000	9999												\image\item\other\meta_004a1.spr	\image\item\other\meta_004a0.spr	Nguyªn liÖu luyÖn kiÕm cao cÊp		Sinh ho¹t		1	2	1			999
Vâ Hån Chi HuyÕt	2	201	20	0	10000000	1												\image\item\other\÷è÷ëÍèa1.spr	\image\item\other\÷è÷ëÍèa0.spr	Nguyªn liÖu luyÖn kiÕm cuèi cïng, cã thÓ gióp Linh KiÕm trë thµnh Kho¸ng ThÕ ThÇn KiÕm		Sinh ho¹t		1	1	1			999
Lß luyÖn kiÕm	2	201	21	0	0	1												\image\item\other\xianglu_a1.spr	\image\item\other\xianglu_a0.spr	VËt ®­îc KiÕm T«n dïng ®Ó luyÖn Linh KiÕm. <color=Gold> Chuét ph¶i ®Ó sö dông .		Sinh ho¹t	\script\item\pet_sword_enhance.lua	1	2	1			999
