Tªn giµy	Lo¹i h×nh chİnh	Lo¹i h×nh phô	Ph©n lo¹i chi tiÕt	NÆng	Gi¸	Ngò hµnh	§é bÒn	Søc phßng ngù (ngo¹i ; néi)	Thuéc tİnh hç trî 1	TrŞ sè Thuéc tİnh hç trî 1	Thuéc tİnh hç trî 2	TrŞ sè Thuéc tİnh hç trî 2	Sè trang bŞ	§¾ng cÊp yªu cÇu	Giíi tİnh yªu cÇu	ThÓ h×nh yªu cÇu	M«n ph¸i yªu cÇu	HiÖn h×nh nhá trªn giao diÖn	HiÖn h×nh lín trªn giao diÖn	ThuyÕt minh	×°±¸ÔÚÉíÉÏµÄÊ±ºò£¬Ê¹ÓÃµÄÏÔÊ¾ÀàĞÍÃû×Ö	Khi vøt ra ngoµi sÏ hiÓn thŞ tªn	File gèc	CÊp	Cã/kh«ng thÓ giao dŞch (0 ®­îc,1 kh«ng ®­îc,)	Cã/kh«ng thÓ vøt (0 ®­îc; 1 kh«ng ®­îc)	L­u ph¸i	Cã/Kh«ng thÓ söa (0Cã/1Kh«ng)	Dù L­u	Tiªu chİ ph¸t triÓn	Biªn hiÖu ph¸t triÓn	Biªn hiÖu më khãa	Biªn hiÖu kinh nghiÖm
HiÖp ThiÕu Bè Trang	0	101	1	10	1	0	70	17;5						3	1	1		\image\item\shoe\man1_tro_001a1.spr	\image\item\shoe\man1_tro_001a0.spr	H¹ y dÖt tõ v¶i th«, nh©n sÜ s¬ nhËp giang hå hay mÆc.	±ê×¼ÄĞÏÂÉí001	H¹ y		1	0	0		0					
ViÔn Tóc trang	0	101	2	10	1	0	80	5;19						10	1	1		\image\item\shoe\man1_tro_002a1.spr	\image\item\shoe\man1_tro_002a0.spr	DÖt b»ng lo¹i v¶i th« bÒn ch¾c.	±ê×¼ÄĞÏÂÉí002	H¹ y		1	0	0		0					
Lang B× trang	0	101	3	20	536	0	95	20;5						15	1	1		\image\item\shoe\man1_tro_003a1.spr	\image\item\shoe\man1_tro_003a0.spr	§­îc lµm tõ da sãi, rÊt bÒn ch¾c.	±ê×¼ÄĞÏÂÉí003	H¹ y		2	0	0		0					
Nh­ ı trang	0	101	4	10	587	0	90	6;20						16	1	1		\image\item\shoe\man1_tro_004a1.spr	\image\item\shoe\man1_tro_004a0.spr	H¹ y mÒm m¹i lµm tõ da thó h¶o h¹ng, thİch hîp cho sø gi¶.	±ê×¼ÄĞÏÂÉí012	H¹ y		2	0	0		0					
Hæ B× trang	0	101	5	40	797	0	110	22;6						23	1	1		\image\item\shoe\man1_tro_005a1.spr	\image\item\shoe\man1_tro_005a0.spr	§­îc c¸c thî rÌn næi tiÕng ë vïng Giang Nam chÕ t¹o mÒm m¹i, bÒn ch¾c.	±ê×¼ÄĞÏÂÉí004	H¹ y		2	0	0		0					
Khinh Gi¸p trang	0	101	6	20	822	0	100	7;22						24	1	1		\image\item\shoe\man1_tro_006a1.spr	\image\item\shoe\man1_tro_006a0.spr	H¹ y chÕ t¹o tinh x¶o, ®Ñp m¾t nh­ng kh«ng tiÖn dïng.	±ê×¼ÄĞÏÂÉí008	H¹ y		2	0	0		0					
D¹ Hµnh trang	0	101	7	50	1235	0	125	24;7						32	1	1		\image\item\shoe\man1_tro_007a1.spr	\image\item\shoe\man1_tro_007a0.spr	H¹ y cña nh©n sÜ vâ l©m khi hµnh tÈu trong ®ªm.	±ê×¼ÄĞÏÂÉí015	H¹ y		3	0	0		0					
Háa T­êng trang	0	101	8	25	1294	0	110	8;24						33	1	1		\image\item\shoe\man1_tro_008a1.spr	\image\item\shoe\man1_tro_008a0.spr	Trang phôc thÇn kú lµm b»ng lo¹i v¶i kh¸ng háa.	±ê×¼ÄĞÏÂÉí010	H¹ y		3	0	0		0					
Xİch L©n trang	0	101	9	60	2062	0	140	26;8						40	1	1		\image\item\shoe\man1_tro_009a1.spr	\image\item\shoe\man1_tro_009a0.spr	Trang phôc lµm tõ da mÒm m¹i nh­ng phßng vÖ rÊt tèt.	±ê×¼ÄĞÏÂÉí005	H¹ y		3	0	0		0					
Nh­ ı trang	0	101	10	30	2181	0	120	9;26						41	1	1		\image\item\shoe\man1_tro_010a1.spr	\image\item\shoe\man1_tro_010a0.spr	Lo¹i H¹ y cã thÓ ®iÒu chØnh kİch th­íc lín nhá tïy ı.	±ê×¼ÄĞÏÂÉí007	H¹ y		3	0	0		0					
Long B× trang	0	101	11	70	3787	0	155	28;9						49	1	1		\image\item\shoe\man1_tro_011a1.spr	\image\item\shoe\man1_tro_011a0.spr	H¹ y lµm tõ da ®Şa long, võa ch¾c ch¾n võa cã tİnh ®µn håi.	±ê×¼ÄĞÏÂÉí016	H¹ y		4	0	0		0					
HuyÒn ¶nh trang	0	101	12	35	4095	0	130	10;28						50	1	1		\image\item\shoe\man1_tro_012a1.spr	\image\item\shoe\man1_tro_012a0.spr	Phôc trang ®Æc biÖt cña giang hå kú hiÖp. Nh©n sÜ giang hå ®Òu m¬ ­íc.	±ê×¼ÄĞÏÂÉí013	H¹ y		4	0	0		0					
Thiªn Lang trang	0	101	13	80	6128	0	170	30;10						57	1	1		\image\item\shoe\man1_tro_013a1.spr	\image\item\shoe\man1_tro_013a0.spr	Trang phôc th­îng h¹ng, ngµn vµng kh«ng thÓ mua.	±ê×¼ÄĞÏÂÉí017	H¹ y		5	0	0		0					
Phi Ng­ trang	0	101	14	40	6559	0	140	10;30						58	1	1		\image\item\shoe\man1_tro_014a1.spr	\image\item\shoe\man1_tro_014a0.spr	H¹ y lµm tõ Phi Ng­ b× kh«ng hÒ thÊm n­íc.	±ê×¼ÄĞÏÂÉí011	H¹ y		5	0	0		0					
Thanh V©n trang	0	101	15	90	9576	0	185	32;10						66	1	1		\image\item\shoe\man1_tro_015a1.spr	\image\item\shoe\man1_tro_015a0.spr	Lùc phßng ngù lín, ®ao kiÕm bÊt nhËp.	±ê×¼ÄĞÏÂÉí006	H¹ y		6	0	0		0					
Bİch L©n trang	0	101	16	45	10078	0	150	10;32						67	1	1		\image\item\shoe\man1_tro_016a1.spr	\image\item\shoe\man1_tro_016a0.spr	Lµm tõ Da r¾n mÒm nh­ gÊm, cã thÓ kh¸ng ®­îc b¸ch ®éc.	±ê×¼ÄĞÏÂÉí014	H¹ y		6	0	0		0					
S¸t KiÕp trang	0	101	17	100	15834	0	200	34;11						74	1	1		\image\item\shoe\man1_tro_017a1.spr	\image\item\shoe\man1_tro_017a0.spr	H¹ y khi mÆc vµo cã s¸t khİ rÊt m¹nh.	±ê×¼ÄĞÏÂÉí018	H¹ y		7	0	0		0					
¤ Tµm trang	0	101	18	50	17055	0	160	11;34						75	1	1		\image\item\shoe\man1_tro_018a1.spr	\image\item\shoe\man1_tro_018a0.spr	H¹ y dÖt tõ « t¬ ë §¹i TuyÕt s¬n kh¸ng ®éc cùc tèt	±ê×¼ÄĞÏÂÉí009	H¹ y		7	0	0		0					
HiÖp ThiÕu trang	0	101	19	10	1	0	70	17;5						3	1	2		\image\item\shoe\man2_tro_001a1.spr	\image\item\shoe\man2_tro_001a0.spr	Lo¹i ¸o v¶i th« t©n thñ th­êng sö dông.	¿ıÎàÄĞÏÂÉí004	H¹ y		1	0	0		0					
Håi Phong trang	0	101	20	10	1	0	80	5;19						10	1	2		\image\item\shoe\man2_tro_002a1.spr	\image\item\shoe\man2_tro_002a0.spr	Lo¹i ¸o v¶i th« t©n thñ th­êng sö dông.	¿ıÎàÄĞÏÂÉí001	H¹ y		1	0	0		0					
M·ng Ng­u trang	0	101	21	20	536	0	95	20;5						15	1	2		\image\item\shoe\man2_tro_003a1.spr	\image\item\shoe\man2_tro_003a0.spr	DÖt tõ da tr©u rõng nh×n ®¬n gi¶n nh­ng bÒn ch¾c.	¿ıÎàÄĞÏÂÉí002	H¹ y		2	0	0		0					
