TaskIndex	TaskType	Title	TaskDes	IsGet	IsFinished	IsAwarded	NeedRoom	Award1	ExpireTime1	GlobalMsg1	Award2	ExpireTime2	GlobalMsg2	Award3	ExpireTime3	GlobalMsg3	Award4	ExpireTime4	GlobalMsg4	Award5	ExpireTime5	GlobalMsg5	Award6	ExpireTime6	GlobalMsg6	Award7	ExpireTime7	GlobalMsg7	Award8	ExpireTime8	GlobalMsg8
ID NhiÖm vô	1: NhiÖm vô ngµy	Tiªu ®Ò nhiÖm vô	Miªu t¶ NhiÖm vô	NhËn nhiÖm vô nµy kh«ng? ID t­¬ng øng activity_interface_condition.txt	§iÒu kiÖn hoµn thµnh, ID t­¬ng øng activity_interface_condition.txt	§· nhËn th­ëng nhiÖm vô nµy? ID t­¬ng øngactivity_interface_condition.txt	Ph¸n ®o¸n « trèng trong tói, ®¹o cô gi¶ sÏ ®­îc ®iÒn tïy theo t×nh h×nh thùc tÕ	Th­ëng 1 (G,D,P,Count,Bind)	Thêi h¹n 1 	Th«ng b¸o nhËn th­ëng 1																					
	2: NhiÖm vô th¸ng			Hç trî nhiÒu:	Hç trî nhiÒu:	T¹m thêi giíi h¹n ë condition d¹ng 1 bit		2;95;555;100;1	§¬n vŞ giê	1:yes 0:no																					
	3: PhÇn th­ëng miÔn phİ			&: §¹t tÊt c¶	&: §¹t tÊt c¶																										
	4: Tr¶ phİ nhËn th­ëng			|: §¹t 1 trong nh÷ng	|: §¹t 1 trong nh÷ng																										
				T¹m kh«ng hç trî ( ), ®Ó hiÓn thŞ miªu t¶ ®iÒu kiÖn, tİnh '|' tr­íc råi tİnh '&'	T¹m kh«ng hç trî ( ), ®Ó hiÓn thŞ miªu t¶ ®iÒu kiÖn, tİnh '|' tr­íc råi tİnh '&'																										
																															
				 0: CÊm dïng	0: CÊm xong																										
				-1: HiÖn																											
																															
1	1	§¨ng NhËp Mçi Ngµy	<color=Green>L¹i mét ngµy míi trong cuéc ®êi giang hå	-1	491	322	2	2;1;31506;1;4																							
2	1	Trång 1 C©y B¸t Nh·-Nhá	<color=White>Trång vµ thu ho¹ch 1 <color=Green>C©y B¸t Nh·-Nhá	-1	232	323	2	2;1;31506;1;4																							
3	1	Trång 1 C©y Tø Linh	<color=White>Trång vµ thu ho¹ch 1 <color=Green>C©y Tø Linh	-1	231	324	2	2;1;31506;1;4																							
4	1	Trång 1 C©y H¹t Gièng	<color=White>Trång vµ thu ho¹ch 1 <color=Green>C©y H¹t Gièng	-1	492	325	2	2;1;31506;1;4																							
5	1	VËn tiªu	<color=White>§Õn khu vùc ThÕ Lùc Ba Phe, hoµn thµnh 1 lÇn <color=Green>VËn Tiªu	-1	233	326	2	2;1;31506;2;4																							
6	1	C­íp tiªu	<color=White>§Õn khu vùc ThÕ Lùc Ba Phe, <color=Green>®o¹t Tiªu Xa 1 lÇn	-1	493	327	2	2;1;31506;2;4																							
7	1	Ph¸o ChiÕn Th¾ng	<color=White>Sö dông <color=Green>50 Ph¸o ChiÕn Th¾ng	-1	225	328	2	2;1;31506;5;4																							
8	1	ThÇn Du Th¸i H­	<color=White>Tæ ®éi ®Õn Th¸i H­, <color=Green>v­ît ¶i 25	-1	230	329	2	2;1;31506;3;4																							
9	1	§Şa HuyÒn Cung	<color=White>V­ît phã b¶n §Şa HuyÒn Cung 1 lÇn, <color=Green>v­ît qua ¶i 3	-1	224	330	2	2;1;31506;1;4																							
