GENRE	DETAIL_TYPE	CONTENT	UNREPLACABLE	UNREMOVABLE	VERSION	EXPIRE	TYPE	SCRIPTFILE	EQUIPFUN	UNEQUIPFUN	ICONPATH	REMARK				END
1	1	B¹ch m· v­¬ng tö	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr	GENRE: X­ng hiÖu lo¹i lín				
1	2	Siªu cÊp so¸i ca	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr	DETAIL_TYPE: X­ng hiÖu lo¹i nhá				
1	3	TuyÖt ®¹i m·nh nam	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr	CONTENT: X­ng hiÖu néi dung (bao gåm thay ®æi kı hiÖu ®Æc biÖt)				
1	4	§¹i gia khuª tó	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr	UNREPLACABLE: X­ng hiÖu kh«ng cho ng­êi ch¬i thay ®æi? Gi÷ nguyªn x­ng hiÖu hiÖn t¹i				
1	5	TiÓu gia bİch ngäc	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr	UNREMOVABLE: X­ng hiÖu kh«ng cho ng­êi ch¬i xãa?				
1	6	TuyÖt ®¹i giai nh©n	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr	VERSION: Sau khi thay ®æi phiªn b¶n x­ng hiÖu, x­ng hiÖu tr­íc ®ã sÏ bŞ hÖ thèng thu håi				
1	7	ThÇn bµi	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr	EXPIRE: Ngµy hÕt h¹n cña x­ng hiÖu lµ yyyymmdd, vİ dô 20060320, qu¸ ngµy nµy x­ng hiÖu cña ng­êi ch¬i sÏ biÕn mÊt				
1	8	Miªu thñ kh«ng kh«ng	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr	SCRIPTFILE: Files gèc t­¬ng øng				
1	9	Thiªn kiÕp b¸ch biÕn	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr	EQUIPFUN: Hµm sè files gèc khi thiÕt lËp danh hiÖu				
1	10	Cù cæ hµo th­¬ng	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr	UNEQUIPFUN: Hµm sè files gèc khi xãa danh hiÖu				
1	11	Vâ Tr¹ng Nguyªn	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr	ICONPATH: §­êng dÉn cña icon hiÓn thŞ ra				
1	12	V¨n Tr¹ng Nguyªn	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr	TYPE: 1=eqiup, 2=have, 3=equip and have 4=draw icon only				
1	13	Th¸m Hoa Lang	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	14	ThiÕt C«ng Kª	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	15	¤i Táa Nam	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	16	Qu©n Tö KiÕm	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	17	Vâ l©m minh chñ	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	18	§éc c« cÇu b¹i	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	19	Ho¹t Bå T¸t	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	20	Thiªn DiÖn Hå	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	21	Gia C¸t thÇn to¸n	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	22	Thiªn C¬ Nh·n	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	23	ThuÇn Phong NhÜ	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	24	Th¶o Th­îng Phi	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	25	TÕ thÕ quan ©m	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	26	§¹i T­íng Qu©n	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	27	Thiªn Tiªn Tö	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	28	ThÇn Y	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	29	B¸n Tiªn	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
1	30	Th¸nh T¨ng	0	0	0	0	0	\script\global\playertitle.lua	Equip	UnEquip	\UImage\ÎåĞĞÍ¼±ê\³ÆºÅ.spr					
