 	ID1	ID2	ID3	ID4	ID5	ID6
Cho¸ng	0					
Hçn lo¹n	0					
Ngñ	0					
Tª liÖt	0					
§Þnh th©n	0					
Tróng ®éc	0					
Gi¶m tèc	0					
Lµm chËm	0					
Minh S¸t Thu Hµo	66					
Kim Chung Tr¸o	26	165				
HuÖ Nh·n Chó	37	181				
La H¸n TrËn	40					
Ngò ChuyÓn ChØ	48	197				
Ph¸ Ma Chó	49	198				
Kim Cang BÊt Ho¹i	50	200				
V« T­íng ThÇn C«ng	53	204				
BÊt §éng Minh V­¬ng Chó	55	208	209			
T©m Nh·n	60	212				
T«i §éc BÝ ThuËt	68					
Hµm Sa X¹ ¶nh	71	344	345			
Quan ¢m QuyÕt	219	226	229	30205		
§é Nguyªn QuyÕt	79	221				
PhËt Quang Phæ ChiÕu	80					
Liªn Hoa T©m Kinh	81	222				
L­u Thñy QuyÕt	83	225	1338	2652	2689	
BÊt DiÖt T©m Ph¸p	85	227	228	1337	2651	
PhËt Quang ChiÕn KhÝ	86	230	231	1340	2654	
PhËt ¢m ChiÕn ý	87	232	233	1339	2653	
Th«ng Tý QuyÒn	105	234				
Thiªn C©n H¹p						
Táa HÇu CÇm N· Thñ	108	237				
Tiªu Dao Du						
Tóy §iÖp	111	240	241	30214	30215	30216
Tóy QuyÒn	112					
Nª Thu C«ng	118	244				
Th©u Thiªn Ho¸n NhËt	122	307	308			
V« Ng· T©m Ph¸p	132	256				
Th¸i Êt Tiªu Dao C«ng	149					
B¾c §Èu ThÊt Tinh TrËn	155					
B¸ V­¬ng T¹ Gi¸p	121	245	246			
TriÒn Méng KiÕm ý	134	259				
L¹c S­¬ng KiÕm ý	135	260				
NguyÖt Thùc Khóc	93	313	314			
TÜnh D¹ T­	95	316	317			
D­¬ng Quan Tam §iÖp	97	318	319			
¤ D¹ §Ò	100	323	324	325		
ThiÕu L©m Long Tr¶o Thñ	43					
Mª HoÆc	0					
Kim ThiÒn C«ng	458	489	967	971		
TiÒm Long ThÇn C«ng	402	414	978	979	1428	2715
Nh­ ý Táa Nguyªn C«ng	405	417	424	986	1434	
TrÊn Qu©n Tam TiÕu QuyÕt	426	432	1007	1008	1446	2726
Thiªn Hµ ThÇn C«ng	463	491	968	972		
V« TrÇn ThÇn C«ng	403	415	981	982	1430	2716
Tu La C«ng	459	490				
Chiªm Y ThËp B¸t §iÖt	465	493	970	974		
Tö Hµ ThÇn C«ng	464	492	969	973		
D­¬ng Gia HuyÔn ThÇn QuyÕt	742	770	771			
D­¬ng Gia Kú M«n ThuÉn	739					
